text,label,,,,,
a-z of the stock market and its products training. the training aims at equipping participants with critical stock… ,0,,,,,
"with our diverse range of investment products,,0,,,,
"rt @nsekenya: in today's trading day,,1,,,,
"in today's trading day,,1,,,,
"rt @nsekenya: corporate announcement:,,,,,,
the board of directors- jubilee holdings limited has appointed mr. julius k. kipngetich as the region…",0,,,,,
@victorezraw @sokodirectory @sokoanalyst @sokohisa @primesecurities @victorezraw thank you. this has been well noted and rectified.,0,,,,,
"corporate announcement:,,,,,,
the board of directors- jubilee holdings limited has appointed mr. julius k. kipngetich as… ",0,,,,,
rt @nsekenya: boosted by the sale of safaricom shares turnover rose to kes.1 billion  from the previous sessions kes.366 million. the @nsek…,1,,,,,
boosted by the sale of safaricom shares turnover rose to kes.1 billion  from the previous sessions kes.366 million.… ,1,,,,,
rt @nsekenya: the @nsekenya will be hosting the seventh building african financial markets (bafm) seminar. the seminar will bring together…,0,,,,,
the @nsekenya bond market recorded improved activity with bonds worth kes. 4.4 billion transacted compared to kes.… ,1,,,,,
the @nsekenya will be hosting the seventh building african financial markets (bafm) seminar. the seminar will bring… ,0,,,,,
@willisowiti @willisowiti friday closing prices have been updated on the website.,0,,,,,
@maluda254 @maluda254 you are welcome.,0,,,,,
@maluda254 @maluda254 kindly call 020 283 1000 and you will have someone attend to you. @nsekenya,0,,,,,
rt @nsekenya: all nse indices registered positive gains with the nse 20 adding 25.09 points to settle at 3701.57 while the all share index…,0,,,,,
rt @sokoanalyst: i predict a 4000 points on the 20 share index by end of this quarter.  #sokonews ,0,,,,,
all nse indices registered positive gains with the nse 20 adding 25.09 points to settle at 3701.57 while the all sh… ,1,,,,,
rt @nsekenya: the @nsekenya  trading session has opened for the third time in 2018. which stocks do you think will rally most this year? ht…,0,,,,,
the @nsekenya  trading session has opened for the third time in 2018. which stocks do you think will rally most thi… ,0,,,,,
today's trading session at a glance. equities turnover rose to kshs. 412 million from the previous sessions's kshs.… ,1,,,,,
rt @sterlingnairobi: get a 5-year financial review on all banks listed on the @nsekenya by reading the @nsekenya handbook. @sterlingnairobi…,0,,,,,
rt @sterlingnairobi: is investing in the stock market among your resolutions for 2018? visit the @nsekenya  one of the leading securities e…,0,,,,,
rt @nsekenya: is investing in the stock market among your resolutions for 2018? visit the @nsekenya one of the leading securities exchanges…,0,,,,,
is investing in the stock market among your resolutions for 2018? visit the @nsekenya one of the leading securities… ,0,,,,,
rt @nsekenya: @cmakenya @cdsckenya @sokodirectory @sokohisa @sokoanalyst get a 5-year financial review on all banks listed on the @nsekenya…,0,,,,,
the market can remain irrational longer than you can stay solvent-john maynard keynes. @nsekenya ,0,,,,,
rt @nsekenya: @cmakenya @cdsckenya @sokodirectory @sokohisa @sokoanalyst get a view of the performance of  agricultural companies listed at…,0,,,,,
rt @nsekenya: have all salient information and a 5-year financial review of all nse listed companies by reading the nse hand book. the hand…,0,,,,,
@cmakenya @cdsckenya @sokodirectory @sokohisa @sokoanalyst get a view of the performance of  agricultural companies… ,0,,,,,
@cmakenya @cdsckenya @sokodirectory @sokohisa @sokoanalyst get a 5-year financial review on all banks listed on the… ,0,,,,,
have all salient information and a 5-year financial review of all nse listed companies by reading the nse hand book… ,0,,,,,
2017 year in review: may 2017. @officialeabl listed the final series of its corporate bond on the fixed income mark… ,0,,,,,
2017 in review:launch of m-akiba retail bond. in june 2017 the @nsekenya in association with other stakeholders lau… ,0,,,,,
rt @nsekenya: the @nsekenya wishes you a merry christmas and a prosperous new year. ,0,,,,,
the @nsekenya wishes you a merry christmas and a prosperous new year. ,0,,,,,
the @nsekenya bond market had bonds worth 1.5 billion traded. ,1,,,,,
rt @nsekenya: did you know you can visit the @nsekenya and be guided on the available investment opportunities in the stock market for free…,0,,,,,
market review at a glance. the @nsekenya bond market witnessed improved activity with bonds worth kes. 1 billion be… ,1,,,,,
rt @alykhansatchu: .@nsekenya nairobi all share which had rallied +31.99% in 2017 through yesterday  morning matching a 34 month closing hi…,1,,,,,
rt @nsekenya: the @nsekenya resumed trading with equities turnover surging to 1.4 billion. the day's market review at a glance.@nsekenya ht…,1,,,,,
the @nsekenya resumed trading with equities turnover surging to 1.4 billion. the day's market review at a glance.… ,1,,,,,
rt @richtvafrica: the nairobi securities exchange wishes all kenyans a happy #jamhuriday ,0,,,,,
the @nsekenya wishes all kenyans a happy jamhuri day. ,0,,,,,
"@nmarym @nmarym no. our offices are located at westlands 55,,0,,,,
"rt @nsekenya: what is a real estate investment trust (reit)?,,,,,,
a reit is a regulated investment vehicle that enables the issuer to pool,,,,,,
inves…",0,,,,,
did you know you can visit the @nsekenya and be guided on the available investment opportunities in the stock marke… ,0,,,,,
"@stanlib there are generally two types of reits.,,,,,,
1.income real estate investment trusts (i-reits).,,,,,,
2. development r… ",0,,,,,
"@stanlib the @nsekenya real estate investment trust market segment was launched,,,,,,
in october 22,,,0,,,
"@stanlib the countries that  have reits regulations in africa include south africa,,,,0,,
"what is a real estate investment trust (reit)?,,,,,,
a reit is a regulated investment vehicle that enables the issuer to… ",0,,,,,
"@michellemutinda @michellemutinda yes,,0,,,,
"@g_odundo @barclays_kenya @richtvafrica why invest in etfs?,,,,,,
etfs have the following benefits diversification,,0,,,,
"rt @nsekenya: who can invest in etf's?,,,,,,
anyone can invest in an etf. etfs make it easier and more affordable for first time,,0,,,,
"rt @nsekenya: exchange traded funds (etfs) are listed investment products that track the performance of a basket of shares,,0,,,,
@jbkb2 currently only one etf is listed at the @nsekenya . the barclays newgold etf.  @barclays_kenya @nsekenya. ,0,,,,,
"who can invest in etf's?,,,,,,
anyone can invest in an etf. etfs make it easier and more affordable for first time,,0,,,,
"exchange traded funds (etfs) are listed investment products that track the performance of a basket of shares,,0,,,,
"as you come up with your new year resolutions,,0,,,,
rt @nsekenya: learn about the growth enterprise market segment of the @nsekenya. the segment provides a platform for sme's to raise capital…,0,,,,,
@g_odundo @iodkenya the @iodkenya is a business -membership organization dedicated to championing governance and et… ,0,,,,,
"@nsekenya,,,,,0,
rt @nasdaqdubai: nasdaq #dubai and #nairobi securities exchange sign mou to support creation of #sukuk sector in #kenya ,0,,,,,
"rt @insurancekenya3: we thank ms. bahati morara from @nsekenya who represented mr. geoffrey otieno odundo - chief executive officer,,0,,,,
"bonds,,,,,,
the @nsekenya bond market registered improved activity with bonds worth kes.8.8bn transacted compared to kes.… ",0,,,,,
rt @nsekenya: the @nsekenya and @nasdaqdubai  signed a memorandum of understanding (mou) to facilitate the creation of a sukuk sector in ke…,0,,,,,
rt @nsekenya: @nasdaqdubai @ketreasury @karinabob @g_odundo the two exchanges aim to collaborate on assisting with the issuance and listing…,0,,,,,
@nasdaqdubai @ketreasury @karinabob @g_odundo the two exchanges aim to collaborate on assisting with the issuance a… ,0,,,,,
the @nsekenya and @nasdaqdubai  signed a memorandum of understanding (mou) to facilitate the creation of a sukuk se… ,0,,,,,
"rt @nsekenya: mr. sebastian mikosz,,,0,,,
"rt @nsekenya: we applaud @kenyaairways for boldly using this process of a debt - equity restructuring,,0,,,,
"we applaud @kenyaairways for boldly using this process of a debt - equity restructuring,,0,,,,
"mr. sebastian mikosz,,,0,,,
@kenyaairways shares resumed trading at the @nsekenya yesterday after 2 weeks temporary suspension to enable a shar… ,0,,,,,
"the @nsekenya will be closed for business on tuesday,,0,,,,
@george48423129 @g_keymoney @smartyouthke @george48423129  check out for the nse investment challenge next year. we… ,0,,,,,
"rt @g_keymoney: looking towards the next @nsekenya challenge,,0,,,,
"weekly report:,,,,,,
the nse 20 share index was up 102.85 points to stand at 3833.00.,,,,,,
all share index (nasi) gained 5.30… ",0,,,,,
"rt @alykhansatchu: .@nsekenya nairobi all share +25.92% 2017,,,,,,
,,,,,,
",0,,,,,
rt @brandkenya: kenya is bouncing back - its a three-month high at the nse in a week of relative calm that followed the supreme court’s mon…,0,,,,,
rt @makeitkenya: kenya is bouncing back - its a three-month high at the nse in a week of relative calm that followed the supreme court’s mo…,0,,,,,
rt @aseasecretariat: the #aseaconference in pictures @nsenigeria @egyptseegx @nsekenya @theofficialbse @zse_zim @useuganda  @dseinsights @r…,0,,,,,
@idmalexis @idmalexis check your dm.,0,,,,,
rt @bd_africa: nse gains sh70 billion as political temperature cools  ,1,,,,,
rt @nsekenya: the @safaricomltd share hits highest price since listing. investors continue to  demonstrate confidence in our market. @nseke…,0,,,,,
rt @nsekenya: buoyed by the sale of @safaricomltd shares turnover rose to kes. one billion with the nse 20 share index gained 21.69 points…,1,,,,,
buoyed by the sale of @safaricomltd shares turnover rose to kes. one billion with the nse 20 share index gained 21.… ,1,,,,,
the @safaricomltd share hits highest price since listing. investors continue to  demonstrate confidence in our mark… ,0,,,,,
rt @alykhansatchu: the @nsekenya all share rallied +3.151% yesterday [biggest single day % gain for more than 2 years] ,1,,,,,
"@nsekenya ceo -@g_odundo,,0,,,,
learn about the growth enterprise market segment of the @nsekenya. the segment provides a platform for sme's to rai… ,0,,,,,
rt @alykhansatchu: boom! @safaricomltd trading 27.25 +5.83% weighted average matches 26.75 it's all time record closing high #twaweza @bobc…,1,,,,,
@wanyoike_njinu @wanyoike_njinu check your dm.,0,,,,,
rt @alykhansatchu: .@safaricomltd trading 26.50 +2.91% exactly -0.93% below a record all time closing high ->> share data ,1,,,,,
rt @nsekenya: ,0,,,,,
,0,,,,,
"nse indices:,,,,,,
the @nsekenya 20 share index was up 49.01 points to stand at 3779.16.,,,,,,
all share index (nasi) ended 1.6… ",0,,,,,
"rt @aseasecretariat: ""this year,,,,0,,
@nimastecues you can visit our offices and have a brief informative session with our training and public education… ,0,,,,,
".@g_odundo,,0,,,,
rt @nsekenya: a share is a unit of ownership in a company.to learn how to buy shares at the @nsekenya follow the link ,0,,,,,
a share is a unit of ownership in a company.to learn how to buy shares at the @nsekenya follow the link… ,0,,,,,
a good time for a great cause. @nsekenya charity trading day #nsecharityday @missmwanyigha @amina_kenya ,0,,,,,
fcpa dr. james boyd mcfie- the financial reporting awards is a result of rigorous evaluation processes using global… ,0,,,,,
cpa nebart avutswa- the financial reporting award is open to all organizations that prepare annual reports & financ… ,0,,,,,
fcpa edward ouko- the primary objective of the financial reporting awards is to strengthen financial markets &attra… ,0,,,,,
fcpa edward ouko- the primary objective of the financial reporting awards is to strengthen financial markets &attra… ,0,,,,,
the 2017 financial reporting awards conference is underway at the  @crowneplaza hotel nairobi. #fire2017 ,0,,,,,
“the proceeds that we receive will go into helping many kids in my network who need expert care also get them... ,0,,,,,
rt @ythera_mwai: @peopledailyke thank you for the coverage. @nsekenya ,0,,,,,
transforming lives one trade at a time. @nsekenya charity trading day #nsecharityday @bettymkyallo ,0,,,,,
having a good time for a great cause. @nsekenya charity trading day. #transforminglives #nsecharityday @larrymadowo… ,0,,,,,
".@amina_kenya played her part during the #nsecharityday. ,,,,,,
you can donate to:,,,,,,
 m-pesa paybill no:733333,,,,,,
account name… ",0,,,,,
"rt @alykhansatchu: .@nsekenya nairobi all share +20.25% 2017,,,,,,
,,,,,,
",0,,,,,
amina abdi took the challenge to trade at the nairobi stock exchange trading floor to support and impact on... ,0,,,,,
"@frankkena1 @frankkena1 kindly visit our offices,,0,,,,
the @nsekenya bond market had bonds worth  2.1 billion transacted. ,1,,,,,
rt @dchandaria: with @bonneytunya @nsekenya #nsecharityday #transforminglives ,0,,,,,
rt @dchandaria: with @noninimusic @nsekenya #nsecharityday #transforminglives ,0,,,,,
rt @nsekenya: miss mwanyigha making a call to a client at the @nsekenya charity trading day. #nsecharityday @missmwanyigha ,0,,,,,
rt @chandcapitalke: excited and proud for the founder and ceo of @chandcapitalke @dchandaria to be speaking at #nsecharityday. @nsekenya #t…,0,,,,,
rt @nsekenya: joining hands for a better tomorrow.#nsecharityday @larrymadowo ,0,,,,,
"rt @oliveaseno: most importantly,,0,,,,
"rt @dchandaria: a fantastic afternoon with @nsekenya,,0,,,,
"darshan chandaria,,0,,,,
@theroyalvoice trading at the @nsekenya #nsecharityday. impacting our society one trade at a time. ,0,,,,,
miss mwanyigha making a call to a client at the @nsekenya charity trading day. #nsecharityday @missmwanyigha ,0,,,,,
@nsekenya charity trading day. joining hands for a better tomorrow. @bettymkyallo @juliegichuru ,0,,,,,
@fareedkhimani has started making his trades at the @nsekenya charity trading day. #nsecharityday. ,0,,,,,
i posted a new video to facebook ,0,,,,,
@elanimuziki have started trading. impacting our society one trade at a time. @nsekenya #nsecharityday. ,0,,,,,
rt @olivegachara: learning more about money!!! #nsecharityday @nsekenya cc: @fareedkhimani @dchandaria ,0,,,,,
rt @dchandaria: with @larrymadowo @nsekenya #nsecharityday #transforminglives ,0,,,,,
i posted a new video to facebook ,0,,,,,
i posted a new video to facebook ,0,,,,,
ceo @chandariakenya @dchandaria has joined us for the @nsekenya charity trading day. #nsecharityday. ,0,,,,,
@nsekenya is delighted to host @bettymkyallo at the #nsecharityday. ,0,,,,,
celebrated entrepreneur @olivegachara has joined us for the @nsekenya #nsecharityday. ,0,,,,,
joining hands for a better tomorrow.#nsecharityday @larrymadowo ,0,,,,,
rt @dchandaria: with @juliegichuru @nsekenya #nsecharityday #transforminglives ,0,,,,,
rt @dchandaria: @nsekenya #nsecharityday #kcblionsden @olivegachara  lions in the house #transforminglives ,0,,,,,
".@dchandaria thank you for gracing the event! 🤗,,,,,,
#nsecharityday ",0,,,,,
"rt @itsawuor: looking forward to the #nsecharityday...donate and tell a friend!,,,,,,
@brenda_kanaiza @nyach_ke @tolbert_ke @cynthia_oprah @iam_b…",0,,,,,
rt @watermark2015: #nsecharityday happening today @nsekenya trading day which is aligned to @globalgoalsun sustainable development goals le…,0,,,,,
rt @ndi70: #nsecharityday happening today @nsekenya trading day which is aligned to @globalgoalsun enables us address key environmental and…,0,,,,,
rt @ktnkenya: have you made your donation yet? donate to m-pesa pay bill no. 733333 account name: nse charity trading day #nsecharityday ht…,0,,,,,
"rt @ktnkenya: @missmwanyigha joins this year's @nsekenya charity day bandwagon today.,,,,,,
don't be left out!  ,,,,,,
to participate send your donatio…",0,,,,,
rt @asa_talent: finally #nsecharityday is happening today at the exchange trading floor from 1pm. we're thrilled to be part of and to have…,0,,,,,
rt @ulizalinks: the #nsecharityday. donate and tell a friend! ,0,,,,,
"rt @itsawuor: all set for the #nsecharityday at @nsekenya trading floor. here's how you can be part of a worthy cause:,,,,,,
@nse_investors @nedb…",0,,,,,
"we appreciate all the following who are to grace the #nsecharityday event today. ,,,,,,
@larrymadowo @juliegichuru… ",0,,,,,
"rt @nsekenya: have you made your donation yet?,,,,,,
donate to m-pesa pay bill no. 733333,,,,,,
account name: nse charity trading day,,,,,,
#nsecharityday ht…",0,,,,,
rt @nsekenya: happening this friday at the exchange trading floor: #nsecharityday  @nse_investors @cmakenya @kenyabankers @arimusmedia @ken…,0,,,,,
"rt @djjoemfalme: tomorrow 10th november,,0,,,,
"have you made your donation yet?,,,,,,
donate to m-pesa pay bill no. 733333,,,,,,
account name: nse charity trading day… ",0,,,,,
"rt @ktnnews: the beneficiaries of the @nsekenya charity trading day include,,,,0,,
just 1 day to the #nsecharityday. we hope for bigger and even better results this year compared to the previous... ,0,,,,,
"in today's trading,,,,,,
the market value (capitalization) rose by 9.4bn or 0.40% to settle at 2.37 trillion compared to… ",0,,,,,
"rt @honeymoongondol: rt: ktn news: the beneficiaries of the @nsekenya charity trading day include,,,0,,,
rt @nsekenya: @officialjmbugua shares her experience on the 2016 nse charity trading day.this year the  charity trading day will be held on…,0,,,,,
rt @ktnnews: @aginaaby a @ktnkenya business anchor sold close to 19 million shares during the @nsekenya charity trading day 2016 & shares h…,0,,,,,
"rt @ktnnews: @carolinemutoko is super excited to be participating in this year's @nsekenya charity trading day.,,,,,,
let's join hands for a bett…",0,,,,,
rt @ktnkenya: the @nsekenya charity trading day alignment to the @globalgoalsun enables us address key environmental and humanitarian chall…,0,,,,,
"rt @ktnbusiness: @carolinemutoko is super excited to be participating in this year's @nsekenya charity trading day.,,,,,,
let's join hands for a…",0,,,,,
"rt @standardkenya: @carolinemutoko is super excited to be participating in this year's @nsekenya charity trading day.,,,,,,
let's join hands for…",0,,,,,
@larrymadowo will be joining us in this year's @nsekenya charity trading day. lets join hands for a better tomorrow… ,0,,,,,
rt @ktnnews: the @nsekenya charity trading day alignment to the @globalgoalsun enables us address key environmental and humanitarian challe…,0,,,,,
"rt @djjoemfalme: this friday 10th november,,0,,,,
"rt @ktnnews: @missmwanyigha joins this year's @nsekenya charity day bandwagon on the 10th of november. ,,,,,,
don't be left out!  ,,,,,,
to participate…",0,,,,,
rt @ktnkenya: @officialjmbugua will be joining the @nsekenya charity trading day as we seek to continue touching lives and making a differe…,0,,,,,
rt @ktnnews: since its inception the @nsekenya charity trading day has made significant contribution towards wildlife and humanitarian caus…,0,,,,,
rt @standardkenya: since its inception the @nsekenya charity trading day has made significant contribution towards wildlife and humanitaria…,0,,,,,
rt @ktnbusiness: since its inception the @nsekenya charity trading day has made significant contribution towards wildlife & humanitarian ca…,0,,,,,
@nsekenya charity trading day seeks to positively impact our society by supporting key humanitarian & conservation… ,0,,,,,
"rt @carolinemutoko: can't wait for friday 👊🏽😊,,,,,,
doing today to secure tomorrow.,,,,,,
@nsekenya ,,,,,,
@juliegichuru ,,,,,,
@officialjmbugua ,,,,,,
@djjoemfalme ",0,,,,,
"aby agina,,1,,,,
only 2 days to the @nsekenya charity trading day.@carolinemutoko will be joining us in this year's event. lets join… ,0,,,,,
"the energy sector had shares worth  kes.14 m transacted @totalkenya moved 264,,1,,,,
"bonds market,,,,,,
,,,,,,
in today's trading at the @nsekenya the bond market had bonds worth kes.1.6bn transacted.",0,,,,,
"banking sector,,,,,,
equity group holdings actively moved 2.9m shares valued at kes.119m at between kes.40.00 and kes.40.50. @nsekenya",0,,,,,
"telecommunication,,,,,,
safaricom was the day’s main feature with 34.9m shares valued 857m changing hands at between kes.24.25 and kes.25.00.",0,,,,,
"in today's trading,,,,,,
 turnover rose to kes.1.1bn from the previous sessions kes.542m,,0,,,,
"rt @arimusmedia: to participate in this years #nsecharityday send your donations to m-pesa paybill no:733333,,,,,,
account name: nse charity trad…",0,,,,,
"rt @arimusmedia: only 5 days to the #nsecharityday. have you made a donation?,,,,,,
,,,,,,
@keequitybank @safaricomltd @cmakenya @dtbkenya @kcbgroup @t…",0,,,,,
"rt @ulizalinks: to participate  #nsecharityday send donations to m-pesa paybill : 733333,,,,,,
account: nse charity trading day ,,,,,,
@nsekenya ",0,,,,,
"rt @juliegichuru: looking forward to some robust trading on friday,,0,,,,
"rt @thetradingbell: #nsecharityday fact:,,,,,,
@nsekenya @nse_investors @cbkkenya @g_odundo @sanlamkenya @kenyaairways ",0,,,,,
"rt @arimusmedia: the beneficiaries of #nsecharityday include,,,,0,,
"rt @missmwanyigha: i’ll be attending this year’s #nsecharityday,,,,,,
to participate send your donation to m-pesa paybill number 733333,,,,,,
account n…",0,,,,,
happening this friday at the exchange trading floor: #nsecharityday  @nse_investors @cmakenya @kenyabankers… ,0,,,,,
"rt @djjoemfalme: this friday 10th november,,0,,,,
"the 2017 #nsecharityday is scheduled to take place on the 10th of november,,0,,,,
@standardkenya @kcbgroup @kengenkenya @britamea @safaricomltd @dtbkenya @cmakenya genevieve audrey foundations reha… ,0,,,,,
"2017 @nsekenya charity trading day beneficiariesborana conservancy,,,0,,,
only 4 days to the @nsekenya charity trading day.@juliegichuru will be joining us in this year's event.… ,0,,,,,
@vanitymoments @nsekenya investment challenge is youth platform that aims at equipping kenyans with financial skill… ,0,,,,,
"bonds:,,,,,,
the bond market registered improved activity with bonds worth kes.5.3bn transacted compared to kes.3.5bn registered the previous week",0,,,,,
