text,label,,
nigerian court sets malabu oilfield corruption case hearing for june 18  ,0,,
at least 17 killed in #mozambique capital as pile of garbage collapses ,0,,
new south african leadership credit positive for gold miners: moody's ,0,,
"#malawi #cholera cases pass 500,,0,
"south african budget to set out ""tough"" measures to repair post-zuma economy ",0,,
#egypt says 3 soldiers killed in campaign against militants ,0,,
"#malawi cholera cases pass 500,,0,
#ethiopia says state of emergency will last six months ,0,,
"#botswana hangs man convicted of murdering girlfriend,,0,
#gambia announces moratorium on death penalty ,0,,
"#ethiopia bans protests,,0,
"w. africa crude-shell wins ioc,,0,
"nigeria ""not ruffled"" by oil price drop,,0,
african markets - factors to watch on feb. 15  ,0,,
diary-emerging markets economic events to march 29  ,0,,
#egypt aims to sell eurobonds worth $3-$4 bln in fy18/19 - deputy finance minister to al arabiya ,0,,
qatar national bank to sell small stake in #egypt unit to comply with listing rules ,0,,
rhule gets debut try as stormers beat jaguares in super rugby opener ,0,,
"burundians forced to sign up to vote in referendum,,0,
"#ethiopia bans protests,,0,
#egypt to import 3 lng cargoes from france's engie for q2 2018 -sources ,0,,
"u.s. says it ""strongly disagrees"" with #ethiopia's state of emergency ",0,,
#zambia to rearrange china loans to meet imf conditions ,0,,
"w. africa crude-qua offered higher,,0,
african markets - factors to watch on feb. 14  ,0,,
diary-emerging markets economic events to march 29  ,0,,
brief-ge’s power services business signs service agreement with shell petroleum development co… ,0,,
"burundians forced to sign up to vote in referendum,,0,
"acacia,,0,
#ethiopia says state of emergency will last six months ,0,,
nigerian cinema fans celebrate #blackpanther release ,0,,
#ethiopia declares state of emergency after pm's resignation ,0,,
three suicide bombers kill 18 in #nigeria's maiduguri -police ,0,,
"w. africa crude-nigerian firm,,0,
african markets - factors to watch on feb. 13  ,0,,
"#ramaphosa plans ""tough decisions"" to boost #southafrica's economy  #sona2018 ",0,,
diary-emerging markets economic events to march 29  ,0,,
"""tough decisions"" for south africa to cut deficit - ramaphosa  #sona2018 ",0,,
breaking: #ethiopia declares state of emergency ,0,,
south africa's gigaba says country must ride positive market sentiment ,0,,
al qaeda urges egyptians to topple government as egypt preps for vote ,0,,
sierra leone voters tune in for rare presidential debate ,0,,
nigeria resumes mass trial of hundreds of boko haram suspects  ,0,,
"rt @alertnet: ⚡️ “our top stories this week”,,,
,,,
",0,,
#congo says five soldiers killed in clash with rwandan army ,0,,
"#malawi to cut borrowing,,0,
south africa's #ramaphosa set to outline priorities in key speech ,0,,
#burkinafaso expects record 55 tonnes of gold in 2018 - minister ,0,,
"imf dismisses zambian borrowing plan,,0,
eyes on s.african finmin gigaba amid talk of cabinet reshuffle before budget ,0,,
#eskom executive koko resigns from south african power utility ,0,,
ajay gupta left  on dubai-bound flight on feb. 6 -airport ,0,,
barclays africa wins case over $83 million payout in #southafrica ,1,,
world bank approves $486 mln credit to nigerian power grid work ,1,,
 cds hit 2-week low after #ramaphosa sworn in as president ,0,,
#southafrica's ramaphosa set to outline priorities in key speech ,0,,
"all parties need a stake in #ethiopia's future,,0,
nigerian economic body and state oil firm discuss gasoline price change ,0,,
#egypt's central bank cuts interest rates as inflation eases ,0,,
prominent egyptian islamist critic remanded for 15 days ,0,,
"new tunisian central bank chief promises ""extraordinary measures"" ",0,,
#ethiopia's prime minister resigns to smooth path for political reform ,0,,
nigeria central bank says injected $210 mln into currency market  ,1,,
nigerian stocks drop to one month low  ,0,,
nigerian bourse approves delisting of seven-up bottling  ,0,,
#congo says soldiers killed in border skirmish with #rwanda ,0,,
#egypt's military says kills 53 militants in week-long offensive ,0,,
"#ramaphosa elected president of #southafrica,,0,
#southafrica's tutu quits as oxfam ambassador over aid agency's sex scandal ,0,,
ex-divs to take 24.4 points off ftse 100 on feb.15  ,0,,
"#southafrica declares gupta brother ""fugitive from justice"" ",0,,
#ramaphosa elected president of #southafrica ,0,,
#ethiopia's pm offers resignation to help reforms after mass unrest ,0,,
s&p sticks with #kenya stance after moody's downgrade ,0,,
#namibia inflation slows to 3.6 percent year/year in january ,0,,
"new-look  to harness growth,,0,
"#kenya,,,0
#zimbabwe offers to pay for tsvangirai funeral expenses ,0,,
#southafrica's parliament speaker receives zuma's letter of resignation ,0,,
kenyan court revokes deportation of opposition-linked lawyer ,0,,
south african parliament to elect new president on thursday - anc chief whip ,0,,
steinhoff to hold annual shareholders' meeting on april 20 ,0,,
#southafrica starts long walk back to post-zuma rehabilitation ,0,,
south african rand hovers near 3-yr highs after #zuma quits ,0,,
egyptian authorities detain former islamist presidential candidate ,0,,
#liberia's new president orders review of concession agreements ,0,,
"zuma quits,,0,
"update 1-heineken lowers margin growth target,,0,
heineken guides for lower margin growth in 2018  ,0,,
newsmaker: south africa's #zuma quits after party turns against him #zumaresigns  ,0,,
breaking: #zuma quits as president of south africa ,0,,
breaking: south africa president jacob zuma resigns  #zumapresser ,0,,
"obituary: morgan tsvangirai,,0,
just in: #southafrica's #zuma to address nation at 2000 gmt - presidency ,0,,
breaking: #zimbabwe opposition leader morgan tsvangirai dies in south africa - mdc  ,0,,
breaking: #zimbabwe opposition leader morgan tsvangirai has died in south africa - mdc  party vice-president ,0,,
"rt @alertnet: ask ""dr. love"": mobile app teaches congolese youth about safe sex  ",0,,
african markets - factors to watch on feb. 12  ,0,,
first person convicted for #nigeria's boko haram schoolgirl kidnap ,0,,
no #gupta family member arrested in #southafrica police raids -lawyer ,0,,
appeal court rules nigerians cannot pursue shell spill claim in england ,0,,
uk freezes $800 million in assets under #congo sanctions ,0,,
#ethiopia frees journalist jailed since 2011 ,0,,
diary-emerging markets economic events to march 29  ,0,,
south african rand hits 2-1/2-year high as #anc prepares to push out #zuma ,0,,
south africa's anc will back no-confidence vote in zuma on thursday #anccaucus ,0,,
"at least 19 migrants killed,,0,
#southafrica declares drought a national disaster ,0,,
"more #gupta-related arrests expected in #southafrica,,0,
south african police arrest three people in johannesburg raids  ,0,,
south african police arrest three people in johannesburg raids  ,0,,
#ethiopia frees opposition leader amid protests ,0,,
south african police raid home of zuma associates amid influence-peddling probe #gupta ,0,,
south african police arrest two in gupta house raid - sabc  #gupta ,0,,
"south african police raid home of zuma associates amid influence-peddling probe ,,,
 #gupta ",0,,
#southafrica's zuma to hold media briefing wednesday -  ,0,,
cameroon separatists kill three soldiers in overnight attack  ,0,,
boko haram militants hand over 13 hostages to nigerian government  ,0,,
diary-emerging markets economic events to march 29  ,1,,
nigeria central bank says injected $326 mln into currency market  ,0,,
"#kenya's attorney general resigns,,0,
"south africa's anc says will ""deal with matter"" if zuma refuses to go ",0,,
south african adviser to south sudan rebels could face death penalty ,0,,
south africa's anc decides to remove jacob zuma: source  via @reuters,0,,
south africa's power utility eskom would have defaulted without pic loan ,0,,
south africa's drought-stricken cape town pushes back 'day zero' to june 4 ,0,,
"how south africa's zuma could leave office #zumarecall ,,,
 ",0,,
#nigeria resumes mass trial of hundreds of boko haram suspects ,0,,
anc decides to remove zuma as south african president ,0,,
british travel firm thomas cook resumes tunisia holidays three years after beach attack ,0,,
top #anc official telling #zuma that party wants him out: source ,0,,
#anc decides to remove zuma as south african president #zumarecall ,0,,
"#egypt's army kills 10,,0,
britain to add nigeria's naira to list of accepted trade currencies  ,0,,
south african rand slips on reports anc decides to remove zuma from office ,0,,
breaking: #southafrica's anc decides to remove #zuma as head of state -source  #ancnec   ,0,,
breaking: #southafrica's #anc decides to remove #zuma as head of state -source ,0,,
african markets - factors to watch on feb. 9  ,0,,
diary-emerging markets economic events to march 29  ,0,,
"nigeria's president denies cattle grazing plan is ""colonization""  ",0,,
"sabc reporter says south africa's zuma agrees to go,,0,
"gunbattles,,0,
south african military investigates #congo torture reports  #southafrica ,0,,
#southsudan sentences rebel leader's spokesman to death ,0,,
"south africa's zuma resignation reports ""fake news"" - spokesman ",0,,
#cameroon separatists kill three soldiers in overnight attack ,0,,
south african military investigates #congo torture reports ,0,,
liberia's johnson sirleaf wins $5 mln african leadership prize ,0,,
"south african president zuma's fate to be decided on monday,,0,
bank of baroda to exit south africa central bank ,0,,
#liberia's johnson sirleaf wins $5 mln african leadership prize ,1,,
"gunbattles,,0,
"south african president zuma's fate to be decided on monday,,0,
nigeria's nnpc to import 100 mln litres/day of gasoline in feb  ,0,,
"weekahead-ghana's cedi,,0,
african markets - factors to watch on jan. 8  ,0,,
south africa's #ramaphosa says working to resolve issue of zuma's future ,0,,
diary-emerging markets economic events to march 29  ,0,,
sudanese president replaces security and intelligence chief ,0,,
brotherhood supporters jailed over 2014 cairo clashes - court sources ,0,,
south africa's #ramaphosa says working to resolve issue of zuma's future  ,0,,
"rt @alertnet: ""cape town is not going to be the only city on this continent that's going to suffer significant water shortage""  ",0,,
south africa's wiese slashes stake in steinhoff to 6.2 pct ,0,,
south africa's #anc to hold special meeting as pressure mounts on zuma  ,0,,
sudanese president replaces security and intelligence chief - agency ,0,,
south africa's #anc official urges patience during #zuma exit talks ,0,,
boko haram militants hand over 13 hostages to nigerian government ,0,,
"mine explosion kills five civilians,,0,
south africa's #anc to hold meeting of key decision-making body on monday - spokesman ,0,,
nigerian army to deploy troops in areas marked by land clashes  ,0,,
nigeria bond yields rise 50 bps across board to five month high -traders  ,0,,
african markets - factors to watch on feb. 7  ,0,,
diary-emerging markets economic events to march 29  ,0,,
kenya's poverty-stricken turkana district dreams of oil wealth  ,0,,
egyptian air force pounds sinai militants - military  ,0,,
egypt wants more market stability before eurobond issue - minister ,0,,
britain to add nigeria's naira to list of accepted trade currencies ,0,,
"bombing at mosque in libya's benghazi kills one,,0,
brief-fortis microfinance bank in talks with lenders to restructure facilities  ,0,,
african markets - factors to watch on feb. 6  ,0,,
diary-emerging markets economic events to march 29  ,0,,
"nigeria's president signs order to boost local production,,0,
kumba iron ore reverses sishen mine-linked impairment charge ,0,,
gambia rejoins commonwealth as it seeks to rebuild world standing ,0,,
world food programme warns of deeper hunger across southern africa ,0,,
"bombing at mosque in #libya's benghazi kills one,,0,
de beers diamond venture puts namibian mine on sale ,0,,
"don't stereotype african players,,0,
"""we are in a war"": cameroon unrest confronted by army offensive ",0,,
egypt begins security operation against 'terrorists' - army spokesman ,0,,
"rt @reuters: ⚡️ “daily briefing - global news headlines”,,,
,,,
",0,,
#egypt begins security operation against 'terrorists' - army spokesman ,0,,
#gambia rejoins commonwealth as it seeks to rebuild world standing ,0,,
"#nigeria's president denies cattle grazing plan is ""colonization"" ",0,,
"south africa's ramaphosa clears diary,,0,
production of nigeria's bonga oil ramping up after shutdown -shell nigeria  ,0,,
brief-okomu oil palm company commissions its extension 2 estate  ,0,,
brief-spiffx signs integration deal with afromillionslotto  ,0,,
brief-telling telecommunication holding unit signs cooperation agreement with prosperous glory investment… ,0,,
"#ethiopia pardons 746 prisoners,,,0
children recount trauma of abduction after mass release by #southsudan rebels ,0,,
"south africa's anc was preparing to fire zuma this week,,0,
african union says has no secret dossiers after china spying report ,0,,
"#southafrica's anc was preparing to fire zuma this week,,0,
rt @alertnet: human smugglers in libya have links to security services: u.n. report  ,0,,
african markets - factors to watch on feb. 5  ,0,,
diary-emerging markets economic events to march 29  ,0,,
update 1-italy's league under pressure over racist shootings  ,0,,
merchant marine vessel with 22 indian crew on board missing in gulf of guinea off west africa - india's min of exte… ,0,,
"#kenya crackdown on media,,0,
lagos art lovers get chance to bid for long-lost masterpiece found in london  ,0,,
smugglers holding migrants feared drowned in libya shipwreck: official ,0,,
anadarko wins approval for work on mozambique gas project ,0,,
dams that supply cape town fall further as water crisis looms #drought ,0,,
five children die in guinea in fire blamed on post-election riots ,0,,
#kenya deports opposition lawyer charged with treason  ,0,,
end game looms for south africa's zuma ,0,,
#southafrica's ramaphosa says in direct discussions with zuma over transition  ,0,,
former south africa coach de villiers takes charge of zimbabwe ,0,,
south africa gold miners seen close to silicosis lawsuit settlement ,0,,
two dead after sibanye-stillwater's south african mine collapse ,0,,
'black panther' gets superhero reception from critics ,0,,
dams that supply cape town fall further as water crisis looms ,0,,
"kenyan opposition lawyer charged with treason leaves country #kenya ,,,
 ",0,,
ecowas issues sanctions over guinea-bissau political crisis ,0,,
south africa's ramaphosa to outline zuma's fate today - speaker ,0,,
#southafrica's ramaphosa to outline zuma's fate today - speaker  ,0,,
merchant marine vessel has been missing since friday and a search is underway - ship owner anglo-eastern… ,0,,
italy's league under pressure over racist shootings  ,0,,
update 2-african migrants injured in italian drive-by shootings -police  ,0,,
diary-emerging markets economic events to march 29  ,0,,
men with guns still rule in #libya as return to 'ghost town' blocked ,0,,
"south africa's anc to decide ""matter of serious concern"" in zuma showdown on wednesday  #sona2018 ",0,,
drought forces some cape town residents into midnight queues for water ,0,,
south africa's competition watchdog to prosecute four firms over eskom tender ,0,,
"#congo tells #belgium to close consulate,,0,
"hundreds protest against u.s. arms embargo in south sudan,,0,
somali military court sentences man to death for role in major bombing ,0,,
investec co-founder calls it a day after four decades ,0,,
south african parliament working to ensure budget speech goes ahead on feb 21 ,0,,
south african parliament speaker: state of the nation address postponed  ,0,,
#zimbabwe's mining minister says lithium biggest draw ,0,,
uganda investigates allegations of refugee aid fraud ,0,,
#zimbabwe's tsvangirai critically ill in #southafrica: party source ,0,,
"#southafrica's anc to decide ""matter of serious concern"" in zuma showdown on wednesday ",0,,
rt @alertnet: we report on efforts to #endfgm around the globe – see our latest stories here   ,0,,
south africa considering delaying state of the nation speech: speaker ,0,,
"#kenya charges opposition figure present at odinga ""swearing in"" with treason ",0,,
#southafrica's zuma summons ministers to cabinet meeting - enca tv ,0,,
#zimbabwe's tsvangirai critically ill in south africa: party source ,0,,
at least 30 dead in ethnic violence in northeast #congo ,0,,
"#nigeria's president signs order to boost local production,,0,
indian buying helps offset drop in china's w.african oil appetite  ,0,,
"france condemns killings in cameroon,,0,
diary-emerging markets economic events to march 29  ,0,,
refile-alarm for chibok girls as nigeria targets boko haram hideout  ,0,,
"drought-stricken #capetown pushes back ""day zero"" to may 11 ",0,,
cash or custody: israel kicks off deportation of african migrants  ,0,,
two kenya tv stations resume broadcasting after days shut by government ,0,,
south africa's pic gives loan to eskom to fund feb operations ,0,,
activist files contempt of court case against #kenya government over tv closures ,0,,
#southafrica's anc to discuss zuma's future amid pressure on him to quit ,0,,
international miners join forces to fight congo mining code ,0,,
"drought-stricken cape town pushes back ""day zero"" to may 11 ",0,,
south africa's capitec deny overstating or misrepresenting loan book ,0,,
#kenya police fire teargas at demonstrators demanding tv stations reopen ,0,,
kenyan police arrest third legislator over opposition leader's 'swearing in' #kenya ,0,,
#congo rebel leader extradited from #tanzania to face trial ,0,,
oil tanker with 22 indian crew missing in gulf of guinea since friday ,0,,
a third of south africa miners say no new investments in 2018:  survey ,0,,
south african rand firmer as pressure mounts on zuma to quit ,0,,
south africa's anc to hold urgent meeting on zuma's future ,0,,
interview-africa's ecobank to focus on existing markets using phones  ,0,,
african markets - factors to watch on feb.1  ,0,,
diary-emerging markets economic events to march 29  ,0,,
nigeria's state oil company calls for private investment to help build pipelines  ,0,,
south africa's anc top leaders to meet under-pressure zuma.  ,0,,
egypt's gas production to exceed 6 bcf before end-2018 -minister.  ,0,,
update 1-cameroonian troops enter nigeria seeking separatists - defence agency  ,0,,
african markets - factors to watch on jan. 31  ,0,,
diary-emerging markets economic events to march 29  ,0,,
india's airtel sees little value in acquiring nigeria's 9mobile -sources  ,0,,
kenyan police arrest third legislator over opposition leader's 'swearing in'.  ,0,,
female leaders fear women being sidelined in nigeria's 2019 elections  ,0,,
uk stocks-factors to watch on jan 30  ,0,,
diary-emerging markets economic events to march 22  ,0,,
south africa's #zuma faces new #no-confidence vote this month ,0,,
update 1-cameroonian separatist leader is deported to cameroon from nigeria -lawyer  ,0,,
cape town's water crisis hitting tourism - officials ,0,,
 approves eskom application to buy more renewable power ,0,,
scandal-hit steinhoff to halt dividends to save cash ,0,,
"#kenya arrests lawyer,,0,
south africa schedules #no-confidence motion against #zuma for feb 22  ,0,,
"ninety migrants,,,0
aveng unit says to lay off 120 workers ,0,,
#springbok coach #coetzee sacked - south african rugby  ,0,,
u.s. to impose arms embargo on south sudan to end conflict - sources  ,0,,
blockchain to track congo's cobalt from mine to mobile  ,0,,
"#kenya police arrest opposition member present at odinga's ""swearing in""  ",0,,
nigeria's buhari nominates new central bank deputy governor  ,0,,
"in new eu sea mission,,0,
boko haram suspects go on public trial in niger  ,0,,
trapped miners at south africa's #sibanye-stillwater gold mine brought to surface  ,0,,
w. africa crude-spot slows with focus on quarterly indonesian tender  ,0,,
african union warns against rush to elections in libya  ,0,,
nigeria central bank injects $210 mln into currency market  ,0,,
"sibanye gold miners in south africa stuck underground,,0,
south africa's national treasury asks regulator to probe viceroy's conduct ,0,,
#southafrica's #capitec dismisses benguela global fund report ,0,,
"#southafrica's zuma to meet anc top six ""over his future"": state broadcaster ",0,,
brief-interlinked technologies h1 loss before tax of 2.7 mln naira‍​  ,-1,,
south africa's new vehicle sales down 8.9 percent year/year in january ,0,,
#kenya court suspends government shutdown of three tv stations ,0,,
"south africa's aveng subsidiary to retrench 2,,0,
#southafrica send lone participant to winter olympics ,0,,
#kenya high court suspends government shutdown of three tv channels ,0,,
south africa's zuma to deliver parliamentary speech as scheduled -parliament ,0,,
s&p rating of #southafrica's #capitec not hurt by viceroy report ,0,,
#egypt's sisi warns opponents as calls to boycott election build ,0,,
#namibia reports first cholera case after deadly outbreak in #zambia ,0,,
"#zimbabwe to give white farmers 99-year leases,,0,
#congo electoral commission finishes registering 46 mln voters ,0,,
"kenyan journalists,,,0
south africa's zuma asks prosecutors to drop graft charges ,0,,
russian security boss meets algerian president bouteflika - rossiiskaya gazeta ,0,,
eni sees east med as key to diversifying europe's gas imports  ,0,,
brief-red star express posts 9-month group pretax profit of 428.2 mln naira  ,0,,
brief-pz cussons nigeria says cfo david petzer has resigned  ,0,,
african markets - factors to watch on jan. 29  ,0,,
kenyan tv stations to stay shut after covering opposition 'inauguration'  #kenya ,0,,
#zimbabwe appoints judge chigumba new chairperson of election commission ,0,,
#steinhoff reports former ceo to south african police ,0,,
south africa's naspers cancels contract with tv station sold by guptas ,0,,
kenyan tv stations to remain shut over opposition coverage -minister ,0,,
arsenal sign aubameyang in club record transfer ,0,,
#kenya central bank to hold its next rate-setting meeting on march 19 ,0,,
chinese-built expressway divides uganda as debts mount ,0,,
#india's airtel sees little value in acquiring #nigeria's 9mobile: sources ,0,,
"steinhoff's former chairman wiese says accounting scandal like ""bolt from blue"" ",0,,
acting steinhoff chair says have reported former ceo to police ,0,,
south africa's central bank says checking whether steinhoff broke fx rules ,0,,
winnie madikizela-mandela discharged from hospital after kidney infection ,0,,
south africa's vodacom q3 revenue up on rising customer base ,0,,
kenya's government suspends broadcasters as odinga takes symbolic oath ,0,,
update 1-soccer-'grigg's on fire' again in wigan fa cup shock  ,0,,
soccer-five-goal leicester overcome 'posh' hurdle in fa cup  ,0,,
diary-emerging markets economic events to march 22  ,0,,
diary-emerging markets economic events to march 22  ,0,,
#egypt's ex-army officers pose growing security threat ,0,,
"facing a ""broke"" country,,0,
rt @alertnet: football and singing could give girl soldiers a second chance in congo - @childsoldiersin  ,0,,
south africa's eskom cannot commit to nuclear expansion: acting cfo ,0,,
broadcasters shut as kenyan opposition leader takes symbolic oath of office #kenya ,0,,
south africa's eskom cannot commit to nuclear expansion - acting cfo ,0,,
"south africa's central bank says #capitec solvent,,0,
"south africa's eskom h1 profits down 34 pct,,0,
china denies report it hacked african union headquarters ,0,,
african union joins growing chorus demanding sanctions on #southsudan war ,0,,
#kenya police fire teargas to disperse opposition supporters ,0,,
capitec's cfo dismisses research report as bank shares fall ,0,,
south africa's #capitec sinks 10 pct after report by viceroy research ,0,,
"kenyan tv,,0,
"facing a ""broke"" country,,0,
nigerian air force killed dozens in attacks on villages -amnesty ,0,,
"hundreds of kenyan opposition supporters gather for ""swearing in"" of leader ",0,,
"w. africa crude-some nigerian trades spot,,0,
african markets - factors to watch on jan. 26  ,0,,
diary-emerging markets economic events to march 22  ,0,,
take a look-the world economic forum at davos  ,0,,
"#zimbabwe election body accused of tender 'impropriety""' ",0,,
south africa's eskom to publish financial results on tuesday ,0,,
#southsudan rebel group releases 15 prisoners ,0,,
"opel to export cars to #tunisia,,0,
gunmen kill at least 14 mali soldiers in attack on army camp ,0,,
"south sudan,,,0
update 1-nigeria to protest u.s. conditions on $494 million purchase of fighter planes  ,-1,,
african markets - factors to watch on jan. 25  ,0,,
diary-emerging markets economic events to march 22  ,0,,
nigerian lawmakers pass bill for exchange to become publicly listed  ,0,,
#egypt to halt imports of lng by end of fy 2017/18 - minister of petroleum ,0,,
gunmen kill at least 14 #mali soldiers in attack on army camp ,0,,
prominent member of halted egyptian opposition campaign attacked and injured ,0,,
u.n. concern over bodies dumped in east libyan cities ,0,,
#southsudan waives registration fees for aid groups for a year ,0,,
"w. africa crude-trading slow on pending tenders,,0,
african markets - factors to watch on jan. 24  ,0,,
diary-emerging markets economic events to march 22  ,0,,
"w. africa crude-angolan cargoes on offer,,0,
gunmen kill at least 14 #mali soldiers in attack - army sources ,0,,
#zimbabwe sees economic growth of up to 6 pct in 2018-state newspaper ,0,,
crop munching pest in #africa raises hunger threat ,0,,
#niger jails nine soldiers accused of coup attempt ,0,,
african union urges #mauritania to crack down on slavery ,0,,
algerian army kills eight armed men in khenchela province -ministry ,0,,
"#congo's kabila denies violence against protesters,,0,
nigerian political standoff threatens central bank independence  ,0,,
african markets - factors to watch on jan. 23  ,0,,
diary-emerging markets economic events to march 22  ,0,,
nigeria's oando says it is working to resolve disputes  ,0,,
suspected boko haram attacker arrested in #germany ,0,,
#zambia court dismisses first quantum bid to stop $1.4 bln lawsuit ,0,,
"#ethiopia pardons over 2,,0,
south african mining seen a winner as ramaphosa woos investors ,0,,
algerian army kills seven armed men in khenchela province: ministry ,0,,
south african mining seen a winner as ramaphosa woos investors ,0,,
south africa police conduct raids in case involving zuma friends ,0,,
ageing gambians race for justice over ex-leader's fake aids cure. ,0,,
#zimbabwe university releases grace mugabe's phd thesis  ,0,,
steinhoff scandal shows need for activist shareholding -jse ceo ,0,,
oldest human remains outside #africa found in israeli cave ,0,,
ivory coast seizes huge haul of elephant tusks and pangolin scales ,0,,
anc leader says south africa in new era as talk of zuma exit grows ,0,,
#nigeria eyes $2.5 bln eurobond sale in q1 to refinance local debt ,0,,
imf's lagarde welcomes mnangagwa's promise to revive #zimbabwe economy ,0,,
mine explosion on civilian vehicle central #mali kills 26 ,0,,
w. africa crude-spot trade muted as traders await allocations  ,0,,
austrian luge race aims to speed up integration of african migrants  ,0,,
"global business group ""lit a flame"" for long-term un goals -chair  ",0,,
brief-china glass says unit entered facility contract with china development bank  ,0,,
#zimbabwe president promises elections by july and says will respect result  ,0,,
"at least 43,,0,
"#southafrica's psa union,,0,
south african enquiry can investigate guptas in fresh blow to zuma ,0,,
"gunmen cross from #nigeria,,0,
"colossus of ancient egyptian king ramses moved to new home,,0,
#nigeria's buhari not talking about 2019 election - vice president ,0,,
#kenya's keitany eyes radcliffe marathon world record in london ,0,,
south sudan ceasefire body says leaders breaking peace deal could face sanctions ,0,,
eu court bars 'gay test' for asylum seekers ,0,,
south africa sets parametres for zuma influence-peddling inquiry ,0,,
"rt @alertnet: as champagne and caviar wash down talk of world problems in davos,,0,
"south africa's psa union,,0,
scores convicted in congo's beni massacre trial ,0,,
south africa finance minister warns country will feel pain of tough budget ,0,,
african markets - factors to watch on jan. 22  ,0,,
diary-emerging markets economic events to mar 22  ,0,,
facebook to open digital training hubs in europe  ,0,,
"nigeria's central bank says won't hold interest rate meeting,,0,
sloppy south africa let india off the hook in third test ,0,,
"dams that supply south africa's cape town fall further as water crisis looms #dayzero ,,,
 ",0,,
exclusive-somalia lures defectors in new push against insurgents ,0,,
jpmorgan plans expansion into #ghana and #kenya ,0,,
rt @alertnet: think immigrants steal jobs? think again  ,0,,
unilever and consumer rivals raise bets on #nigeria ,0,,
schoeman cleared of rio 2016 doping violation ,0,,
ronaldo-brand hotel chain goes to #morocco in global expansion ,0,,
toll rises to 35 dead in benghazi car bombing -medics ,0,,
south africa's new political certainty boosting rand: cenbank governor ,0,,
#egypt's sisi launches presidential bid after biggest rival arrested ,0,,
dams that supply #southafrica's cape town fall further as water crisis looms ,0,,
#somalia lures defectors in new push against insurgents ,0,,
new #zimbabwe leader orders top officials to declare assets  ,0,,
another executive resigns at south africa's eskom ,0,,
"#congo is becoming like a prison under kabila,,0,
winnie madikizela-mandela in hospital for kidney infection -news site ,0,,
twin car bombs kill more than 30 in #libya's benghazi -officials ,0,,
update 1-women's march draws thousands as trump term enters second year  ,0,,
