text,label,,,
"rt @africaceoforum: .@nakufoaddo,,,,0
"from the archives: 'i was hustling from a young age,,0,,
from the archives: rmb westport director talks property development opportunities in sub-saharan africa… ,1,,,
from the archives: retrenchment a blessing in disguise for ambitious entrepreneur  via… ,-1,,,
"rt @africa_pe_news: new partnership to drive solar industry development @afdb_group #isa || to read article,-1,-1,,
cross-border e-commerce a significant growth opportunity for african companies  @dhlafrica ,0,,,
the richest woman in south africa shares her career journey  via @madeitinafrica ,1,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"from the archives: ""a product for everyone is a product for no one."" – ricky thomson,,,1,
"investment trip: finding pearls in uganda,,1,,
from the archives: natural gas – nigeria’s lost treasure  via @madeitinafrica ,1,,,
from the archives: how becky ndegwa stumbled upon her successful traditional blanket business… ,1,,,
from the archives: overlooked burkina faso offers higher returns for investors willing to roll up their sleeves… ,1,,,
from the archives: msurvey wants to solve africa's data challenge. here's how  ,1,,,
from the archives: south african company giving bulk buying power to low-income communities  ,1,,,
[event] africa ceo forum: 26-27 march 2018  #acf2018 ,0,,,
"from the archives: ""i wish i knew how much emotional volatility is involved in being an entrepreneur."" – ademola ad… ",0,,,
from the archives: rural electrification in africa – an economic development opportunity?  v… ,1,,,
from the archives: kingsley makhubela – africa's greatest economic opportunity – trading with itself… ,1,,,
from the archives: uganda – illegal immigrant turned entrepreneur builds top-rated tourism business… ,1,,,
from the archives: unpacking kenya as an investment destination  via @madeitinafrica ,1,,,
from the archives: airbnb co-founder brian chesky shares how he built a $25bn business  via… ,1,,,
from the archives: moroccan tech entrepreneur has a solution to combat illegal fishing  via… ,1,,,
"from the archives: ""i think conventional wisdom is,,,0,
from the archives: fashionomics 101 – an african industry that could be worth $15bn by 2021  ,1,,,
in case you missed it: yvonne mhango – things are looking up in nigeria and ghana  via… ,0,,,
from the archives: gold medallist ryk neethling on applying olympic training skills to property… ,0,,,
from the archives: the story of a ‘born global’ south african ice tea brand  via… ,0,,,
from the archives: former jumia coo launches nigeria's first online-only bank  via… ,0,,,
from the archives: talking business – insight into the mauritian economy  @dhlafrica ,1,,,
from the archives: how former jumia md is selling groceries online in nigeria  via… ,1,,,
"rt @africa_pe_news: m-kopa secures finance from cdc and findev canada @mkopasolar @exportdevcanada @cdcgroup || to read article,,1,,
business opportunity: distribute and import premium wines throughout the african continent  ,0,,,
"in case you missed it: “every good business starts with a 'bad' idea no business starts with a fully-baked,,1,,
from the archives: how 'flying donkeys' could boost trade in africa  via @madeitinafrica ,1,,,
rt @phatisagroup: @phatisagroup achieves a partial exit of kanu (generating an irr in excess of 50%) and raises us$20m of expansion capital…,1,,,
"from the archives: carlos lopes – guinea is not a pig or a fowl,,1,,
from the archives: zambian entrepreneur on running a biodiesel and soap production business  ,1,,,
from the archives: ‘factory africa’? time to get serious about red tape at continent's borders… ,0,,,
from the archives: former citi banker sees opportunities in agribusiness financing  via… ,1,,,
cross-border e-commerce a significant growth opportunity for african companies  @dhlafrica ,1,,,
in case you missed it: kenyan businesswoman shares advice on building a thriving tech company… ,1,,,
interesting read. @zeeshanuae article on morocco’s resurgence following its re-entry into the african union and exp… ,1,,,
"from the archives: ""i never had any interest in going to business school,,0,,
"investment trip: finding pearls in uganda,,1,,
rt @phatisagroup: get the latest agri #commodities + brentcrude daily on your smart phone/tablet. free #africapenewsapp #drivingafricaninve…,1,,,
from the archives: private equity – a return of investor confidence and greater deal flow expected in 2018… ,1,,,
from the archives: how this nigerian started a food processing business with little capital  ,1,,,
from the archives: lagos' first timeshare co-working space  via @madeitinafrica ,1,,,
from the archives: kenyan entrepreneur ventures into competitive processed meat industry  vi… ,1,,,
from the archives: talking business – what it takes to be successful in madagascar  ,0,,,
the richest woman in south africa shares her career journey  via @madeitinafrica ,0,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"from the archives: ""we believe customer loyalty is critical to the success of any business and that can only be ac… ",0,,,
from the archives: lessons learned in years of financing african infrastructure  via… ,1,,,
rt @phatisagroup: phatisa is a sector-focused !#african #privateequity firm. here is quick look at how private equity works - ,0,,,
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via… ,-1,,,
from the archives: how this health worker transitioned into a media entrepreneur  via… ,1,,,
from the archives: closing the food gap – from farmer to table  via @madeitinafrica ,0,,,
"from the archives: kenyan entrepreneur designing stylish,,1,,
"from the archives: ethiopia – opportunities,,0,,
ghanaian entrepreneur finds success by growing and selling coconuts  via @madeitinafrica ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
"“every good business starts with a 'bad' idea no business starts with a fully-baked,,1,,
from the archives: mo ibrahim – africa is at a tipping point  via @madeitinafrica ,0,,,
yvonne mhango: things are looking up in nigeria and ghana  via @madeitinafrica ,0,,,
from the archives: south african company making shipping containers feel like a 'real' house… ,1,,,
from the archives: it’s time to lift the ideological haze in debates about africa’s middle class… ,1,,,
from the archives: how one south african took a shoe-shining business to the next level  via… ,1,,,
the seismic potential of digitalised manufacturing  @dhlafrica ,1,,,
rt @jaco_maritz: the richest woman in south africa shares her career journey  via @madeitinafrica @cnnafrica,1,,,
kenyan businesswoman shares advice on building a thriving tech company  via @madeitinafrica ,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
"from the archives: ""like an airplane first gathers its momentum before takeoff,,1,,
africa’s new winning companies  via @madeitinafrica ,0,,,
rt @phatisagroup: #drivingdevelopmentequity in #africa. join us... ,0,,,
from the archives: natural gas – nigeria’s lost treasure  @nj_ayuk ,1,,,
from the archives: building a fashion empire with afrocentric bow ties  via @madeitinafrica ,1,,,
from the archives: three ways to make rich africa work for poor africans  via @madeitinafrica ,1,,,
from the archives: 'there is money in townships' – south african grows it business to 36 stores… ,1,,,
from the archives: flaviana matata – tanzanian model polishes up her business skills  ,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
"from the archives: ""some businesses are the wrong businesses to be in or based on the wrong ideas,,0,,
from the archives: africa's subsistence-minded farmers should become commercially-minded  vi… ,1,,,
from the archives: africa's greatest economic opportunity – trading with itself  ,1,,,
from the archives: blackjack jeans – kenyan turns small idea into a promising business  via… ,1,,,
from the archives: post-sanctions sudan – a unique opportunity for frontier-market investors?… ,1,,,
from the archives: the somaliland entrepreneur solving problems unique to his home  via… ,1,,,
from the archives: nigerian entrepreneur talks about building a pan-african education brand  ,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"from the archives: ""i’ve had to learn to step away from certain areas of the business,1,1,,
from the archives: tony elumelu on the challenges of growing a pan-african company  via… ,0,,,
yvonne mhango: things are looking up in nigeria and ghana  via @madeitinafrica ,1,,,
from the archives: malawian entrepreneur shuns city life for agriculture  via @madeitinafrica ,1,,,
from the archives: insight into the lives of africa's middle class  via @madeitinafrica ,0,,,
from the archives: tanzania – entrepreneur overcomes financing challenges to launch cashew business… ,1,,,
from the archives: silk road reloaded  @dhlafrica ,0,,,
from the archives: how these south africans are aiming to revolutionise the currency exchange market… ,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
"in case you missed it: ""a good ceo should have a genuine interest in the business in its entirety."" – thomas gottsc… ",1,,,
from the archives: doing business in south sudan – advantage in being a first-mover  via… ,1,,,
rt @phatisagroup: did you know - @phatisagroup is a proud signatory to the unpri  and #parisagreement @cop21en. join…,0,,,
"from the archives: carlos lopes – guinea is not a pig or a fowl,,0,,
from the archives: ghanaian trades high-profile samsung job for farming  via @madeitinafrica ,1,,,
from the archives: three ways africa can achieve its trade goals  via @madeitinafrica ,1,,,
from the archives: nigerian gives up stable salary to launch online learning marketplace  vi… ,1,,,
africa: the time to prepare a favourable economic environment for the youth bulge is now  ,1,,,
in case you missed it: the seismic potential of digitalised manufacturing  @dhlafrica ,1,,,
in case you missed it: neither borders nor boundaries stop this executive from senegal  via… ,1,,,
rt @jaco_maritz: kenyan businesswoman shares advice on building a thriving tech company  via @madeitinafrica #intern…,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
"rt @phatisagroup: missing daily #privateequity headlines,,0,,
"from the archives: ""i’m a control freak and bad with delegation. however,,0,,
africa’s new winning companies  via @madeitinafrica ,0,,,
from the archives: private equity – a return of investor confidence and greater deal flow expected in 2018… ,0,,,
from the archives: the diy test for malaria that could be a game-changer for africa  via… ,0,,,
from the archives: middle-class life – surviving the modern african city  via @madeitinafrica ,0,,,
ghanaian entrepreneur finds success by growing and selling coconuts  @madeitinafrica #ghana ,1,,,
from the archives: swaziland-born entrepreneur introduces crowdfunded insurance  via… ,1,,,
from thew archives: an aerotropolis for africa  @dhlafrica ,0,,,
neither borders nor boundaries stop this executive from senegal  via @madeitinafrica ,0,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,0,,,
"from the archives: ""i’ve learned that companies die when the entrepreneurs give up,,0,,
"rt @phatisagroup: meet @meridian,,,0,
from the archives: heineken on the ins and outs of local sourcing in africa  via… ,1,,,
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via… ,1,,,
from the archives: early investors score big time with rwandan banana wine  via… ,1,,,
from the archives: investment trip – searching for opportunities in morocco  via… ,1,,,
from the archives: stirring up e-commerce in south africa  via @madeitinafrica ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
from the archives: e-commerce in nigeria – the future is mobile  @dhlafrica ,1,,,
from refugee to royalty: sierra leone designer champions ethical fashion  via @madeitinafrica ,1,,,
newsletter: sa company using bitcoin to stop media piracy mtn ceo on building long-term businesses the journey so… ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
from the archives: what benefits can africa derive from the brics partnership?  via… ,1,,,
rob shuter: building a business for the long-term in africa  via @madeitinafrica ,0,,,
from the archives: empire spanning toilet paper to food – how this malawian 'figured it out'… ,1,,,
from the archives: rwanda dials up investment opportunities by playing to its strengths  via… ,1,,,
from the archives: swimming caps for big hair – entrepreneur identifies untapped opportunity… ,1,,,
"from the archives – listen: success depends on how well you understand yourself,,1,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
the seismic potential of digitalised manufacturing  @dhlafrica ,1,,,
cryptocurrencies and media protection – an unlikely marriage  via @madeitinafrica ,1,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"from the archives: ""young african entrepreneurs should see themselves like the carnegies and rockefellers of americ… ",0,,,
kenya: distressed asset real estate investing – is now the time to be buying?  via… ,0,,,
"rt @phatisagroup: meet #goldtree,,,0,
from the archives: africa's greatest economic opportunity – trading with itself  via… ,1,,,
"from the archives: zambian ceo on his new satellite town,,1,,
from the archives: debunking the stereotypes about high risks for investing in africa  via… ,1,,,
congolese inventor has a solution to get rural africa emailing  via @madeitinafrica ,1,,,
from the archives – listen: nairobi-based entrepreneur on starting a business with your own money… ,1,,,
how this tanzanian beauty queen started her own furniture business  via @madeitinafrica ,1,,,
"from the archives: ""in glorifying success we often don’t talk about all the difficult aspects of being an entrepren… ",0,,,
from the archives: notes from the field – takeaways from a business trip to botswana  via… ,1,,,
"from the archives: carlos lopes – guinea is not a pig or a fowl,,0,,
from the archives: the nigerian entrepreneur with the swimwear brand for african women  via… ,1,,,
from the archives: doing business in rural africa – strategies for success  via… ,1,,,
from the archives: a new business model for uganda's motorbike taxi industry  via… ,1,,,
from the archives – listen: bottled-water company reveals secrets to franchising success  |… ,1,,,
from the archives: kenya’s creative industry – unlocking opportunity where others see risk  ,1,,,
"from the archives: ""i think conventional wisdom is,,,1,
from the archives: unpacking renewable energy in africa  via @madeitinafrica ,1,,,
in case you missed it: nick ndiritu – demystifying africa’s debt markets  via @madeitinafrica ,0,,,
from the archives: how this banker found success in the fitness industry  via @madeitinafrica ,0,,,
from the archives: the ups and downs of building a pan-african business – in conversation with aliko dangote… ,0,,,
from the archives: using kenya’s gold medal reputation to build a running shoe brand  via… ,1,,,
from the archives – listen: how social ventures can move from grant funding to real money  |… ,1,,,
from the archives: digitalisation – a potential revolution for the logistics industry?  ,1,,,
from the archives: south african entrepreneur on lessons learnt from silicon valley and tough times… ,0,,,
"rt @phatisagroup: did you know - @phatisagroup through @thephatisafndtn actively supports local environmental initiatives,,0,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
in case you missed it: “we believe customer loyalty is critical to the success of any business and that can only b… ,1,,,
from the archives: automotive outlook for africa – bumpy roads ahead?  ,1,,,
from the archives: private equity – a return of investor confidence and greater deal flow expected in 2018… ,1,,,
"from the archives: 10 african entrepreneurs who've lived abroad,,1,,
from the archives: seizing africa's rapidly-growing food market that could be worth $1tn by 2030… ,1,,,
"from the archives: acclaimed entrepreneur on bootstrapping,,1,,
in case you missed it – listen: gas provider finds creative way to test concept  | interview… ,1,,,
the seismic potential of digitalised manufacturing  @dhlafrica ,1,,,
in case you missed it: olive oil company learns that a good product means little if you can't sell it… ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
"from the archives: ""like an airplane first gathers its momentum before takeoff,,0,,
in case you missed it: one year of ghana’s implementation of wto trade facilitation agreement… ,0,,,
"rt @phatisagroup: where does your #privateequity interest lie? west-,,,,0
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via@mad… ,1,,,
from the archives: two brothers build substantial business by targeting marginalised migrants… ,1,,,
from the archives: how companies in africa can benefit from industrial internet-of-things solutions… ,1,,,
from the archives: interview – using technology to boost the incomes of west african farmers  ,1,,,
"from the archives – listen: success depends on how well you understand yourself,,1,,
from the archives: talking business – unpacking the gambia’s investment opportunities  ,1,,,
in case you missed it: cryptocurrencies and media protection – an unlikely marriage  via… ,1,,,
business opportunity: everything you need to start a mattress cleaning business  ,0,,,
"from the archives: ""‘i’ve had to learn to step away from certain areas of the business,,1,,
four things this packaging company teaches us about africa’s consumer goods industry  via… ,1,,,
rt @phatisagroup: @phatisagroup is proudly #carbon #neutral. achieved by funding the regeneration of more than 10 hectares of degraded miom…,1,,,
from the archives: natural gas – nigeria’s lost treasure  via @madeitinafrica ,1,,,
from the archives: how this working mom got her frozen foods onto the shelves of nakumatt  v… ,-1,,,
from the archives: aviation as a catalyst for growth in africa  via @madeitinafrica ,1,,,
"from the archives: kenyan pharmacy chain – why have one store,,1,,
listen: gas provider finds creative way to test concept  | interview by @findingimpact websi… ,1,,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
from the archives: filling nigeria's fintech sector  @dhlafrica ,1,,,
olive oil company learns that a good product means little if you can't sell it  via… ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
“we believe customer loyalty is critical to the success of any business and that can only be achieved by obtaining… ,1,,,
from the archives: exporting to nigeria – tips and insights  ,0,,,
rt @phatisagroup: today's news cdc announces two new senior appointments. download v7 #africapenews app powered by @phatisagroup. ,1,,,
nick ndiritu: demystifying africa’s debt markets  via @madeitinafrica ,0,,,
from the archives: ceo of uganda's bakulu power finds her feet in renewable energy game  via… ,1,,,
from the archives: busting the frontier-market myths  via @madeitinafrica ,1,,,
from the archives: overcoming crisis after crisis – the story of keroche breweries  via… ,1,,,
from the archives – listen: nairobi-based entrepreneur on starting a business with your own money… ,1,,,
five steps to success for e-commerce companies  @dhlafrica ,1,,,
cryptocurrencies and media protection – an unlikely marriage  via @madeitinafrica ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
"from the archives: ""i wish i knew how much emotional volatility is involved in being an entrepreneur."" – ademola ad… ",0,,,
one year of ghana’s implementation of wto trade facilitation agreement  via @madeitinafrica ,0,,,
kenya: young people are rediscovering that farming can pay  via @madeitinafrica ,0,,,
"rt @phatisagroup: goldtree is a large-scale,,1,,
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via… ,1,,,
from the archives: woodstock brewery owner talks craft beer in south africa and beyond  via… ,1,,,
from the archives: selling food past its best-before date – company discovers new market  vi… ,1,,,
"from the archives – listen: success depends on how well you understand yourself,,0,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
from the archives: the indian entrepreneur who started a bottled water company in niger  via… ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
"from the archives: ""throughout history,,1,,
from the archives: kingsley makhubela: africa's greatest economic opportunity – trading with itself… ,1,,,
from the archives: serial entrepreneur simeon ononobi is going global with a new way to advertise… ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
from the archives: tanzanian businesswoman bullish about branded food  via @madeitinafrica ,1,,,
from the archives – listen: how social ventures can move from grant funding to real money  |… ,1,,,
from the archives: swaziland-based chilli business finds export success  via @madeitinafrica ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"from the archives: ""a product for everyone is a product for no one."" – ricky thomson,,,0,
in case you missed it: joshua oigara – reimagining banking in 2018 and beyond  via… ,1,,,
from the archives: the new face of farming – youth making agribusiness ‘cool’  via… ,1,,,
from the archives: business of fashion – kenyan designer sees growing appetite for local brands… ,1,,,
from the archives – listen: bottled-water company reveals secrets to franchising success  |… ,1,,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
from the archives: building a thriving furniture business with a hammer and a few rusty nails… ,1,,,
from the archives: kenyan coffee company trying to win tea drinkers over  via @madeitinafrica ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
"""never get so locked into your idea that you are not looking at the indicators around you – change direction and ch… ",0,,,
rt @phatisagroup: did you know… everyone has a role to play in pan-african advocacy.  #privateequity can help build a better future for #af…,0,,,
from the archives: private equity – a return of investor confidence and greater deal flow expected in 2018… ,1,,,
in case you missed it – listen: gas provider finds creative way to test concept  ,1,,,
in case you missed it: five steps to success for e-commerce companies  @dhlafrica ,1,,,
"in case you missed it: the world through the eyes of entrepreneur ludwick marishane,,1,,
rt @phatisagroup: announcing the refreshed #africapenewsapp. free download available now. ios and android. powered by @phatisagroup ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
"from the archives: ""if you can pay your day-to-day life,,,0,
from the archives: nj ayuk: natural gas – nigeria’s lost treasure  via @madeitinafrica ,0,,,
"from the archives: 'you never achieve more than what you aim for,,0,,
from the archives: the urban farmer – south african inventor profits from exciting new market… ,1,,,
from the archives – listen: nairobi-based entrepreneur on starting a business with your own money… ,1,,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
from the archives: talking business – liberia's post-war progress challenged by commodity price drop… ,1,,,
from refugee to royalty: sierra leone designer champions ethical fashion  via @madeitinafrica ,1,,,
"rt @blockchainza: get to know one of our exhibitors:@pesabase,,,,1
newsletter: inspiring entrepreneur interviews  ,0,,,
"from the archives: ""i took every call,,,,0
from the archives: ben leo – the overlooked potential of rural spaces and consumers  via… ,1,,,
"from the archives: daily,,,1,
from the archives: meet the ghanaian entrepreneur with a solution to rural farmer struggles  ,1,,,
listen: gas provider finds creative way to test concept  ,1,,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
from the archives: dhl announces title partnership of africa’s largest e-commerce and fintech event… ,1,,,
business lessons from the entrepreneur behind zambian noodle brand  via @madeitinafrica ,1,,,
newsletter: inspiring entrepreneur interviews  ,0,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
"""never get so locked into your idea that you are not looking at the indicators around you – change direction and ch… ",1,,,
joshua oigara: reimagining banking in 2018 and beyond  via @madeitinafrica ,0,,,
from the archives: how this manufacturer got top south african retailers to stock her hair-care range… ,1,,,
from the archives: how this entrepreneur took the plunge to start recruitment company focused on those with disabil… ,0,,,
from the archives – listen: how social ventures can move from grant funding to real money  |… ,1,,,
south africa: removing the transformation deadlock in the mining industry  @rmb_cib [press o… ,1,,,
"the world through the eyes of entrepreneur ludwick marishane,,1,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
"in case you missed it: ""some businesses are the wrong businesses to be in or based on the wrong ideas,,1,,
rt @phatisagroup: phatisa #drivingdevelopmentequity in #africa  ,1,,,
"from the archives: carlos lopes – guinea is not a pig or a fowl,,1,,
from the archives: meet the tryctor – a motorbike-turned-tractor targeting small farmers in nigeria… ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
from the archives: kenyan businessman aiming big with bicycle assembly plant  via… ,1,,,
from the archives – listen: nairobi-based entrepreneur on starting a business with your own money… ,1,,,
"from the archives: moving african trade forward,,1,,
from the archives: young south african on starting his castor oil and biodiesel business  vi… ,1,,,
"from the archives: at age 36,,1,,
"from the archives – listen: success depends on how well you understand yourself,,1,,
"from the archives: profile – 'it pays to solve a really big problem,,0,,
"from the archives: ""i’m a control freak and bad with delegation. however,,0,,
from the archives: liquidation to box-office hits – how this south african animation company did it… ,0,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
from the archives: how obama inspired a mobile bar business in kenya  via @madeitinafrica ,1,,,
from the archives – listen: bottled-water company reveals secrets to franchising success  |… ,1,,,
from the archives: cross-border e-commerce considered a growth rocket for sub-saharan africa retailers… ,1,,,
from the archives: how suzie wokabi sold her african cosmetics brand  via @madeitinafrica ,1,,,
"""some businesses are the wrong businesses to be in or based on the wrong ideas,,1,,
rt @phatisagroup: did you know… mapping africa's natural resources wealth by selected countries and commodities.   #privateequity can help…,1,,,
"the world through the eyes of entrepreneur ludwick marishane,,1,,
kenya's flower producers eye us market  via @madeitinafrica ,1,,,
nj ayuk: natural gas – nigeria’s lost treasure  @nj_ayuk ,0,,,
from the archives: achieving success in magazine publishing: the story of couture africa  vi… ,0,,,
in case you missed it – listen: gas provider finds creative way to test concept  | interview… ,1,,,
in case you missed it: intrapreneurship: large companies embracing the start-up mentality  ,1,,,
in case you missed it: business lessons from the entrepreneur behind zambian noodle brand  v… ,1,,,
single air transport market: the benchmark for african economic integration  via… ,1,,,
"rt @phatisagroup: ""success is not final failure is not fatal: it is the courage to continue that counts."" winston s. churchill",1,,,
"from the archives: ""i wish i knew how much emotional volatility is involved in being an entrepreneur."" – ademola ad… ",0,,,
"rt @africaceoforum: and he will be attending #acf2018 next march,,0,,
from the archives: surviving sabotage – the kenyan manufacturing business that lived to tell the tale… ,1,,,
kenya's flower producers eye us market  via @madeitinafrica ,0,,,
business opportunity: everything you need to start a mattress cleaning business  ,1,,,
from the archives: how this kenyan company saw an opportunity to link small-scale farmers with banks… ,1,,,
profit-making idea: backward integration the 'secret' to dangote's success  via… ,1,,,
from the archives – listen: how social ventures can move from grant funding to real money  |… ,1,,,
start-up snapshot: making it easy for tourists to discover south africa's townships  via… ,1,,,
from the archives: agri-processing in cameroon an attractive investment proposition  ,1,,,
in case you missed it: zimbabwe – where to now?  via @madeitinafrica ,10,,,
joshua oigara: reimagining banking in 2018 and beyond  via @madeitinafrica ,0,,,
rt @phatisagroup: almost time! see you at the @savca_news 2018 #privateequity conference in stellenbosch on the 21 – 22 february 2018 | #so…,0,,,
"from the archives: ""young african entrepreneurs should see themselves like the carnegies and rockefellers of americ… ",1,,,
"the world through the eyes of entrepreneur ludwick marishane,,1,,
from the archives: mybucks founder on recovering from past failures and getting back in the financial services game… ,0,,,
trip note: investors and tourists return to egypt  via @madeitinafrica ,1,,,
business opportunity: distribute and import premium wines throughout the african continent  ,1,,,
kenya's flower producers eye us market  via @madeitinafrica ,1,,,
listen: gas provider finds creative way to test concept  | interview by @findingimpact websi… ,1,,,
from the archives: addis ababa – a city on the move  @dhlafrica ,1,,,
"the world through the eyes of entrepreneur ludwick marishane,,1,,
rt @phatisagroup: #recycling for a #sustainble environment… climate change & making your home #ecofriendly ,1,,,
nj ayuk: natural gas – nigeria’s lost treasure  @nj_ayuk ,0,,,
start-up snapshot: making it easy for tourists to discover south africa's townships  via… ,1,,,
joshua oigara: reimagining banking in 2018 and beyond  via @madeitinafrica ,0,,,
the overlooked potential of rural spaces and consumers  via @madeitinafrica ,1,,,
[event] africa ceo forum: 26-27 march 2018  @africaceoforum #acf2018 ,0,,,
nj ayuk: natural gas – nigeria’s lost treasure  @nj_ayuk ,0,,,
from the archives – listen: nairobi-based entrepreneur on starting a business with your own money… ,1,,,
intrapreneurship: large companies embracing the start-up mentality  @dhlafrica ,1,,,
"rt @blockchainza: meet our next speaker! @ianbess market development lead at @tr_africa: 9 march on ""what’s a blockchain oracle and why do…",1,,,
joshua oigara: reimagining banking in 2018 and beyond  via @madeitinafrica ,1,,,
newsletter: business lessons from entrepreneur behind zambian noodle brand investors and tourists return to egypt… ,1,,,
