,text,label
899,in bid to tame corruption sec rules that uslisted mining companies must disclose payments to foreign governments,1
577,kenya to introduce capital gains tax,-1
1136,east african states push for a regional commodity exchange   perhaps build on ethiopias exchange ht  ,1
263,tanzania stock exchange plans ipo in six months,1
599,mtn rwanda edges toward ipo,1
1229,lets work together nairobi stock exchange pushes for integration of african stock markets,1
143,  africans  in africa   ,1
89,ugandas economy to grow 5 in 201617 55 next year says imf,1
806,zambian power utility zesco considers listing on local stock exchange,1
648,west africas regional stock market anticipates 9 ipos in 2014 introduces realtime trading,1
1594,imf advises tanzania mozambique to spend their way out of recession,1
1442,  invest in africa invest in the whole world,1
405,africas bestperforming stock markets ytd tanzania 272 uganda 167 kenya 146,1
1051,tanzanias crdb bank plans to crosslist on kenyan and ugandan stock exchanges,1
458,africas best stock markets ytd tanzania 205 malawi 173 uganda 120,1
331,zimbabwean plastics company to be listed on stock exchange following unbundling,1
478,tanzania says economy will expand by 20 after gdp rebasing,1
1552,morocco predicts 53 economic growth in 2009,1
985,guinnessbrewer diageo to accelerate its african growth  africa accounts for 14 of total sales,1
971,malawi to devalue currency 40 to meet imf aid terms,-1
1401,  30 of ugandas oil blocs explored  estimates of 2 billion barrels  wow  kenya shud get ready to sell shovels  services,1
563,nigerian stock exchange revokes licenses of 11 inactive stockbrokers,-1
376,kenyan retailer uchumi plans 12 new stores in east africa region this year,1
1358,kenya to refund customers of failed stockbroker,-1
406,axa buys nigerian insurer in african push,1
1672,lower remittances threaten senegalese economy,-1
315,tanzanian mobile phone subscribers jump by 16 in 2014,1
1261,video a passionate case for investing in nigerian banks,1
45,vodacom tanzania extends ipo deadline to woo more local investors,1
485,south africa credit rating cut to bbb by sp on weak growth,-1
1676,africa can survive global crisis imf,1
206,nigerian stock exchange appoints advisors to prepare possible ipo,1
1604,cnbc video why bet on africa interview with quinton primo of capri capital paners,-1
871,kenyas electric utility plans 560mw of new geothermal power plants,1
1267,senegal launches first international bond sale will yield 875 and finance roadbuilding,1
1318,ugandas housing finance bank eyes stock exchange listing,1
1333,kenya cooperative creameries makes profit heads toward listing on nairobi stock exchange,1
540,new bridge in abidjan ivory coast could boost economic growth by 1,1
1083,surging diamond prices will propel botswanas economic growth to 62 this year and 63 in 2012 says standard bank,1
1054,kenya awards new licenses to develop 210mw of geothermal power,1
802,  africa rising net capital inflows will double from 43b to 86b in subsaharan africa from 200815 world bank says h ,1
607,africa bond funds increasingly attractive to big foreign investors,1
1537,subsidies are common outside of africa tough to compete without them ideally malawi will parlay harvests into infr devlpmnt,1
21,good question technically its the best performer this year but the dollar shoage makes it difficultâ€¦,-1
1172,the level of nonperforming loans in east african banks on the decline  ,-1
325,hard times at the zimbabwe stock exchange,-1
1658,difficulties encountered while switching kenyan stockbrokers  post by ,1
237,africa stocks lead frontier market loser list as bears take hold,-1
1363,  sugar sweetens uganda power supply renewable energy is the way to go,1
151,sierra leones economy to grow 43 in 2016 says imf,1
242,botswana cuts 2015 growth to 26 on falling diamond prices,1
730,newly oilrich ghana struggles to please,-1
410,nigeria raises interest rate for first time in three years devalues naira,-1
1622,great review of 2008 results from uganda stock exchange  listed companies  by ,1
913,nairobi securities exchange to launch bond index with ftse,1
615,africa stock showdown mtn vs vodacom,-1
843,burger king coming to south africa management believes market is underserved,1
373,a second ugandan stock exchange to launch in may 2015,1
785,kenya and south sudan plan 1 billion upgrade to 597mile road connecting the two countries,1
1231,  nancy birdsall of the center for global development on the relative size of africas economies,1
14,express kenya to delist from nse after years of lossmaking,-1
1168,ghanaâ€™s economic growth accelerates to 23 as offshore oil stas flowing inflation drops to 89 in may,1
754,ghanas stock exchange is crushing it and heres why,-1
194,this growing nigerian insurance stock now offers an 11 dividend yield,1
828,10 increase in african broadband penetration equates to 14 economic growth says world bank,1
1642,china and africa  the maturing of a pragmatic panership,1
470,kenyan manufacturing company flame tree group plans ipo for late 2014,1
158,  made nearly 4000000 new loans in 2015 this works out to one new loan every eight seconds  ,1
746,barclays to set up 100 million fund to invest in african stocks,1
987,in move to boost trade volume and liquidity the nigerian stock exchange unveils market makers,1
286,foreign direct investment in africa surges 65 in 2014,1
995,kenyas uap insurance plans to list on stock exchange within two years  ht ,1
1612,helpful post on investing in kenyas reopened bonds from ,1
1583,kenya boosts budget 237 in effo to stimulate economy,1
1138,nigerias move to adopt international accounting standards next year should boost stock prices say analysts,1
760,dhl triples its african presence looks to expand business with the continents smes,1
467,nairobi securities exchanges ipo to open on july 24,1
1535,  kenyaâ€™s stock exchange to give stock to investors in november,1
690,retail chain deacons suspends plans to list on nairobi securities exchange,-1
626,kenyan stock exchange to upgrade its automated trading system,1
725,power cuts bureaucracy and high borrowing costs shackle kenyas economy,-1
74,tigo and vodacom prepare ipos on tanzanias stock exchange complying with government requirement to do so,1
1555,  ugandan remittances down 47 to 2673m,-1
1610,cnbc on african investing oppounities video,1
509,ugandas economic growth to accelerate to 61 despite reduced foreign aid says imf,1
898,private equity firm kkr  co kkr considers investing in africa,1
1456,the new zimbabwe recovery from a low base,1
557,ghana stock exchange anticipates 3 ipos in 2014,1
48,  nigerian stock exchange may suspend 11 listed companies on financial statements filing deadline,-1
1109,botswanas economy to grow 5 in 2011 in spite of struggling mining sector and twomonth public worker strike,1
149,nigerias promise turns to peril as investors head for the exits,-1
117,nigeria to abandon naira peg in favor of open market trading,1
1134,ethiopian economy may double in size over next 9 years says afdbâ€™s chief economist may expand 10 this year,1
608,nigerias guaranty trust bank to issue 400 million eurobond global investors hungry for yield,1
646,more oil discovered in kenya,1
336,mtn ghana considers ipo,1
1393,nigerian economy to grow by more than 6 this year,1
354,tanzanian reit sets sights on ipo,1
850,kenyan firms consider listing on london stock exchange,1
1053,tanzanias precision airways ipo undersubscribed raises less than half of target,-1
37,africas best stock markets ytd zambia 162 ghana 148 mauritius 143,1
769,reits come to nigeria 190 million real estate ipo to hit market later this month,1
1416,essential follow for nigeria investors ,-1
1418,zambia lifts 2009 growth forecast to 5,1
1708,ugandan stock exchange to automate soon,1
1571,cnbc video usbased funds investing in liberia the drc and madagascar,1
762,nigerian stock exchange suspends and fines three brokers for price manipulation,-1
1509,nigerian fund managers boosting liquidity of bond market,1
738,  africas fuel market is set to grow by 40 percent by 2020 to 43 million barrels per day,1
1100,south africa pushes walma for massmart deal concessions,1
222,senegals growth to accelerate to 6 in 2016 says imf,1
73,mpesa has reduced povey in kenya especially in femaleheaded households,1
285,tanzanias mwalimu bank ipo oversubscribed by 24,1
894,somalias capital mogadishu reemerges from decades of violence,1
1343,the economist kenya failing to pick itself up after election violence,-1
616,africas best stock markets ytd malawi 724 ghana 518 uganda 427,1
148,south africas trade balance swings to r29 billion surplus in march,1
309,private education institution launches ipo on ghana stock exchange,1
1475,south african supermarket chain selling 10 stake in business to its employees,1
1021,uganda to begin producing oil next year as tullow closes 29 billion panership deal with total and cnooc,1
559,nigeria stock exchanges investor protection fund to launch in 2014,1
703,zimbabwe stock exchange plans ipo to raise funds for modernization,1
1338,eager foreigners still wary of investing in mugabes zimbabwe  by ,-1
1700,zimbabwe to adopt rand,1
147,kenya inflation falls in april paving way for rate cut,1
868,improved visibility ftse launches kenya bond index,1
1194,another significant deepwater oil find off the coast of ghana,1
1501,zimbabwe considers adopting rand as official currency,1
72,mtn nigeria ipo unlikely in 2017,-1
1096,marriott plans to purchase additional hotels in south africa also intends to build hotels in angola and nigeria,1
1697,big african equity fund closes due to weak market environment,-1
655,malawi to feed poor with cash from sale of presidential jet,1
840,moodys assigns credit ratings to nigeria kenya and zambia for the first time ever,1
976,new credit reference bureaus make big impact on kenyan banks lending practices,1
129,nigerian government removes fuel subsidies urges fx policy change,1
758,africas best stock markets ytd ghana 370 uganda 246 zimbabwe 223,1
633,  east africa beer stocks are top target for investors looking for big gains  ,1
491,accra casablanca and freetown rank as africaâ€™s cities with most potential for inclusive growth,1
1546,so long zimdollar zimbabwe will stick with the greenback,-1
684,botswana is set to auction its own diamonds at home for the first time,1
159,ivory coast to see gdp growth of 85 in 2016 says imf,1
486,rwanda sees economic growth picking up to 7 in 2016,1
1453,you should have at least a fiveyear time horizon and of course there are no guarantees invest at your own risk ,-1
317,stanlib to list reits on kenyan stock exchange,1
1012,tanzanias economy could grow as much as 70 in 201213 says imf,1
1212,ghana begins pumping oil on december 17,1
702,boom town african stock exchanges see big gains,1
374,africas best stock markets over last 12 months tanzania 270 uganda 183 s africa 171,1
1151,kenya approves listing of two investment firms on stock exchange,1
1143,mining company agrees to pay zambia says 224 million in back tax,1
27,nigerian stocks havent had a run this good since 2001,1
963,nairobi securities exchange reaches out to rural investors,1
1062,  silk invest plans 150 mln euro africa food fund  via ,1
116,tanzanian stock exchanges ipo oversubscribed nearly five times,1
1380,big gain hunting investing in african stock markets,1
956,kfcs bet on african middle class draws global retailers,1
895,ghanas first etf  a goldbacked fund via ,1
1543,south african economy to shrink 2 this year oecd says  ht ,-1
1311,new kenyan regulations protect investors by requiring additional disclosure from ipo and debt issuers,1
182,new ebook kenyas top stocks launches tomorrow feb 3,1
649,senegals economy to grow 46 in 2014 thanks to mining infrastructure spending and good rains,1
1371,what credit crisis a ghanaian viewpoint,-1
1405,how us investors can paicipate in south africas market recovery,1
1559,unlocking safaricoms share price  by ,1
965,africas share of foreign direct investment largest ever,1
1437,  africas mobile banking revolution,1
1606,cnbc video china in africa plus yet more on the risks of doing business on the continent,1
390,mobius says political improvements will boost nigerian stocks,1
814,3 frontier africa funds for south african investors,1
1518,repo financial crisis deepens africas economic relationship with china,-1
907,kenyas mhasibu investment company targets stock exchange listing,1
637,huge win for botswana de beers moves diamond sales from london to gaborone,1
156,mauritius economy to expand 38 in 2016 says imf,1
153,imf says tanzanias economy to expand close to 7 in 2016,1
1108,ugandan government says oil deposits may be more than double previous estimates,1
171,mauritius sees tourism earnings rising 8 in 2016,1
1615,845 million woh of cote divoires foreign debt canceled still owes roughly 14 billion,1
78,nigerian banks in distress not exactly,1
506,subsaharan africas average economic growth to rise to 58 pct in 2014 says afdb,1
1241,ft corruption probe into sale of ghana oil block,-1
4,zambia cuts benchmark lending rate by 50 basis points to 975 in response to lower inflation and slower economic gâ€¦,-1
302,botswana supermarket chain choppies to list on johannesburg stock exchange,1
644,nigeria plans 13 billion hydropower project with chinese financing,1
775,zambia to issue 500 million bond for railway expansion upgrades,1
1688,johannesburg stock exchange to buy stake in mauritian bourse,1
794,tanzania considers 69 reduction in mobile fees to boost wireless penetration,1
39,cloud atlas africafocused etf lists on jse,1
573,africas best stock markets of 2013 malawi 624 brvm 455 ghana 448,1
273,kenya commercial bank kcb why we own it ,1
449,africa set to turbocharge growth of middle class,1
1486,african stocks provide reasons to be positive,1
370,nigeria to institute corporate governance scorecard for listed companies,1
940,mtn ranked as africas most valuable brand  via ,1
1408,  malawi economists push for devaluation of currency,1
1638,south african rand is best performing emerging market currency in 2009,1
249,warning lights flash for africa borrowers after zambia debt sale,-1
1285,bank mergers possible in ghana as minimum capitalization deadline approaches,1
1206,kenyas mobile phone operator safaricom kicks off 56m bond sale coupon rate at 775,1
692,kenyan economy to grow 57 in 2013 says world bank,1
1650,tanzanias crdb bank ipo commences,1
448,  sap unfolds plan to invest 500m in nigeria others     €¦,1
951,uk sees trade with ivory coast doubling to 778 million within three years,1
1733,s africas neotel may list on johannesburg stock exchange,1
620,imf says subsaharan africa to grow 6 next year thanks to infrastructure investment improved expo capacity,1
1465,new book on chinese investment in africa,1
1674,bbc doing series of repos on global financial crisis impacts on africa reporters blog is here,-1
977,oil exploration company lists on namibian stock exchange,1
865,zambia forecasts 77 gdp growth in 2012 up from 66 in 2011,1
1649,trevor manuel to retain cabinet seat in zuma administration,1
823,zambia caps lending rates for commercial banks in bid to accelerate growth world bank opposes move,1
1171,kenya shilling at 17year low on 13 inflation,-1
56,   capital markets authority to relax listing fees to attract more companie to nairobi securities exchange,1
529,5 deflationbusting zimbabwean stocks and 2 to avoid,1
1038,botswana retailers ipo heavily oversubscribed plans expansion in zambia and mozambique,1
1205,tullow oil postpones listing on ghana stockexchange  via ,-1
380,kenya stock exchange gets ready for day trading with new platform,1
1019,ghana bond issue heavily oversubscribed   yields 15 response reveals foreign investor confidence,1
1399,video nigerian bank crisis causing panic withdrawals in ghana and liberia,-1
701,ghana to issue 1 billion eurobond in july,1
1447,  at independence 1966 botswana had no surfaced roads  only 2 secondary schools in the entire country,1
1420,fitch ratings raises ugandas outlook to positive,1
504,foreign pofolio investment in africa set to reach record 241 billion this year,1
1617,nigerian stock exchange to delist nine moribund companies,-1
861,avon calling cosmetic seller struggling at home but booming in africa,1
1299,kenya plans to sell another 249 million woh of infrastructure bonds yield 12,1
1455,at least one rwandan ipo will occur this year says government,1
1722,another kenyan stockbroker in trouble,-1
748,ft on standard banks effos to expand throughout africa,1
600,new laws pave route to angolan securities exchange,1
574,the zimbabwe stock exchanges 5 best performers of 2013,1
295,propey firm to list on lusaka stock exchange,1
770,microsoft enters sma phone war in africa will invest 74 million to capture market share,1
1175,95 of subsaharan commercial loans have a tenor of five years or less  new repo from ,1
270,"   rating affirmed by sp
outlook stable

sas investment grade rating is safe for now

but hey more growth woâ€¦",1
1438,video analysis of power rationing in kenya,-1
1159,video analysis of ghanas first quaer economic growth,1
338,sabmiller keeps lid on prices to tap african beer market,1
1709,why the idea of a panafrican stock exchange goes nowhere,-1
1545,not a resource per se but some real estate companies are listed on african stock markets mpico in mw oryx in nam turnstar in bw,1
1041,kenyas cic insurance postpones ipo due to nairobi stock exchanges bearish trend,-1
944,nigerias dangote cement eyes london stock exchange listing by third quaer of 2013,1
1404,south african inflation drops to a 2year low another rate cut possible,-1
1681,video kofi bucknor on african investment prospects,1
1046,new 550 million private equity fund will invest in clean energy projects in africa  ht ,1
1170,deacons a kenyan clothing retailer plans ipo early next year plans expansion in rwanda and uganda,1
537,  good prospects for uganda stock market  ,1
54,ghana cuts benchmark interest rate as inflation slows,1
1197,african gdp to slow to 37 in 2011 due to noh african turbulence but east african growth forecasted at 67 afdb,-1
704,angola to launch muchdelayed stock market in 2016,1
1512,  nigeria stock exchange admits islamic halal investment fund  its first sharia compliant instrument,1
1472,zimbabwean economy to grow by 37 this year,1
1498,rwanda and burundi join east african customs union,1
1701,recent financial statements for more than 700 african companies,1
550,mauritania mulls creation of stock exchange,1
262,nigerian stock exchange to introduce depositary receipts allowing investors to buy apple louis vuitton,1
426,marriott to build 50 hotels in nigeria south africa egypt by 2020,1
1715,private placement  kenyan investors  failure,-1
131,im bank rwanda set for ipo before end of year,1
1331,ft nigeria offers 10 of all oil and gas ventures to niger delta residents in bid to end violence,1
1378,kudos to africas standard bank group for its effos to address customer concerns via twitter,1
135,south africa to double its mobile broadband coverage to 80 by 2019,1
1281,analysis of ghanas 2010 budget,1
549,warscarred ivory coast reopens for business  reuters,1
445,kenya votes to reintroduce capital gains tax,-1
6,nigerian stock exchange sees another voluntary delisting pcmn the second already this year,1
1068,in spite of strong growth sp opts not to upgrade ghanas credit rating cites eroding fiscal discipline,-1
560,nigerian stock exchange to welcome first equity etf,1
408,somalia to launch stock exchange in 2015 seven companies expected to list,1
682,angola delays launch of stock market until 2016,-1
1368,  the nigerian central bank has removed the 10 ceiling on bond investments for local banks,1
731,new etf makes nigerian stocks more accessible than ever,1
271,kenya scraps proposed capital gains tax for stock exchange investors,1
137,   budget better late than never we maintain that nonoil revenue projections are over optimistic in weak growthâ€¦,-1
1111,hedge fund seeks to invest in african firms that cater to the unbanked,1
228,diageo to increase stake in guinness nigeria,1
1312,angola seeks 4 billion in biggest subsaharan bond sale,1
393,rand slumps to sixyear low versus dollar on us jobs gains,-1
42,world bank sees subsaharan africa gdp growth up in 2017 after poor 2016 performance,1
136,south africa to add 100 mw of solar power to national grid in 2018,1
1585,safaricoms money transfer service mpesa to be profitable in 2009,1
1403,unfounately cnbc africa does not stream all of its content,-1
1070,kenya begins work on new geothermal power plant will reduce dependence on erratic hydropower,1
199,tanzanias current account gap narrows 166 in year to august,1
1329,podcast the paradox of oil in angola,-1
1522,african plan to keep vulture funds at bay,1
1316,per 2007 annual repo largest shareholder is paul wanderi ndungu with 135,1
670,rwandas expo earnings grow 45 for first half of 2013 plans coffee roasting industry,1
98,kenyas three top dividend stocks,1
1464,kenyas expos to us increased 8 in 2008,1
650,imf cuts ghana growth forecast to 7 from 74 for 2013 mediumterm prospects remain strong,-1
1702,zimbabwe stock exchange restas ditches local currency,1
1398,im guessing theres no small amount of schadenfreude in the boardrooms of ghanas homegrown banks at the unfolding of the naija bank crisis,-1
1388,  a salute to kknyan stocbrokers,1
53,africas best stock markets ytd ghana 94 zambia 83 mauritius 83,1
1487,i agree the file footage that cnbc uses for its africa segments is terrible its a pet peeve of mine,-1
67,im bank subsidiary launches rwanda stock exchange ipo,1
1280,analysis of mauritius 2010 budget,1
1687,imf subsaharan economic growth to slow to 33 for 2009,-1
1661,kenyan grain handler to ipo this year,1
226,zambia bears the brunt of chinaâ€™s economic slowdown,-1
1034,kenyas cic insurance plans to list shares on nairobi securities exchange before yearend,1
1218,celtel zambia will continue to trade on lusaka stock exchange says new majority owner bhai airtel,1
1623,waiting for that great leap forward in tanzania,1
745,kenyas dividend kings two stocks for income investors,1
936,kenyan book publisher longhorn surges 43 on stock exchange debut,1
1192,world bank proposes using cellphones to distribute africa mineral revenues directly to citizens,1
187,african growth outperforms global economy despite downward revisions,1
488,17 million investors now actively trading on nairobi stock exchange doubled from last year,1
1000,nigerias united bank for africa uba eyes eurobond late this year or early next,1
1274,  financial times special report on ghana oil telecoms and international business,1
443,south africas bidvest considers listing on london stock exchange,1
385,kenyas biggest power generator to raise 330 million via rights issue on nairobi stock exchange,1
217,ghana planning to raise 1 billion in eurobond sale this week,1
675,lions on the loose africas top performing stock markets,1
15,how big are african pension funds  by ,1
1260,mark your calendar harvard africa business conference feb 1920,1
634,mastercard and visa look to woo africas unbanked,1
847,africas best performing stock markets  kenya 48 nigeria 42 uganda 32 ytd,1
643,old mutual to raise 994 million for investment in african agriculture infrastructure private equity projects,1
1235,world bank business reforms continue to lag in nigeria,-1
1236,big gains on nairobi stock exchange market has surged 43 since beginning of year,-1
1093,kenyan shilling hits record low vs dollar on reduced hoicultural export forecast,-1
857,ugandan electricity company umeme launches ipo proceeds to pay down debt and expand services,1
274,ethiopiaâ€™s hot for investors targeting africa,1
1304,shoage of dollars in malawi may end fixed exchange rate  via ,-1
1558,  nigeria to lift ban on foreign bank takeovers,-1
1156,walma to create 15000 south african jobs over next five years purchase 87 billion of locallysupplied goods,1
1390,video paladin capital to list on johannesburg stock exchanges altx,1
502,australian oil explorer swala energy to debut on dar stock exchange next month,1
202,subsaharan africas debt issuance down a third so far this year,1
929,simba corp a kenyan auto dealer and hotelier plans to list on nairobi securities exchange,1
357,samba foods launches ipo on ghana stock exchange,1
1560,analysis of the new kenyan tanzanian and ugandan budgets,1
399,online retailer homechoice international to list on johannesburg stock exchange tomorrow,1
1204,private capital flows into africa hit 55 billion in 2010,1
628,computer warehouse group to list on nigerian stock exchange in midnovember,1
954,three ghanalisted companies now allow shareholders to submit proxy votes electronically,1
1655,kenyas privatization plans,1
1063,zambian government will double mining royalties to 6 to help fund increased social spending,1
640,with plenty of money and time family offices eye african markets,1
346,tanzanias dar es salaam stock exchange expects six ipos in 2015,1
631,kenyas investment allure wont be clouded by mall shooting,1
47,uganda central bank cuts main lending rate to 11 seventh rate cut in past year,-1
960,new index to track africas most accessible and socially responsible stocks,1
972,uganda to build new road linking kampala to entebbe airpo  china to fund 350m project,1
636,kenyan supermarket uchumi to crosslist shares on rwandan stock exchange,1
1239,kenya to sell stakes in five sugar companies,1
1496,south african banks offer investors food for thought,1
721,investors like what they see in rwanda,1
1580,undersea cables to slash east africas bandwidth costs by 96,1
231,mauritius stock exchange launches sustainability index,1
1689,contd african markets 30day returns us tan 7 uga 13 zam 8,-1
792,diaspora sends 12 billion to kenya in 2012 up 31 from 2011,1
583,ivory coast to sell stakes in 15 companies list them on regional stock exchange,1
22,africas best stock markets ytd malawi 467 ghana 346 mauritius 293,1
914,pepsi builds new 285m plant in kenya will hire 330 workers,1
739,guinea to launch stock exchange within next two years,1
1137,kenyas economy grows 49 in first quaer of 2011 in spite of drought high fuel costs and inflation,1
483,kenya mauritius enact tax treaty promote stronger business ties,1
923,expansion of broadband spectrum to contribute 770 million to ghanas gdp,1
1326,mauritian economic growth to reach 45 in 2010 standard bank forecast,1
1444,uganda seeks investors for oil refinery,1
1180,ghanaâ€™s inflation rate slows for third consecutive month analysts expect trend to continue,1
379,haldane mccall reit to list on nigerian stock exchange,1
1460,radio interview european fund manager on investing in africa,1
447,kenyan supermarket nakumatt aims for ipo within 612 months,1
1309,nigerias dangote cement plans listing on london stock exchange,1
1157,tanzania announces daily 12hour nationwide power cuts world bank says outages reduce economic growth by 12,-1
1055,africa wants a europeanstyle common market  minus the common currency  via ,1
520,tanzanias president says limits on foreign ownership of shares to be eased by 2015,1
384,south african stocks log biggest gain in nearly six years,1
364,new venture to invest 19 billion in african wind and solar power projects,1
328,successful elections buoy nigerias stock market,1
34,africa investors eye niche markets as biggest economies slip,-1
1114,microlender family bank eyes listing on nairobi stock exchange by end of year,1
1353,bbc rwanda tries to forget genocide by bridging digital divide,1
991,two stockbrokers suspended by zimbabwe stock exchange,-1
44,  s 2016 gdp growth rate registered at 58 vs 57 in 2015 highest growth rate since 2011,1
1098,ifc will invest 170 million in kenya in 2011 targeting energy and transpo infrastructure,1
1451,jpmorgan reckons nigerias zenith bank and oceanic bank are undervalued,-1
1723,a preipo peek at kenya pipeline company,1
1495,video second pa of has african capitalism failed  with moeletsi mbeki and ,1
254,ghana stock exchanges sme segment attracts rising interest,1
1591,zambezi airlines considers ipo on lusaka stock exchange,1
1717,kenyan stocks to watch in 2009,1
740,africas mobile data usage to increase 790 by 2017 thats 55 annually  via ,1
1568,  tanzanias crdb bank gains 33 pct on market debut  ,1
11,4 reasons investors should stay far far away from mumias sugar,-1
436,africas disposable income to grow at average rate of 55 over next 15 years,1
1052,kenyan microlender delays ipo due to bearish trend on nairobi stock exchange,-1
178,zambia sees higher economic growth on improved power supply,1
1225,angola forecasts 76 economic growth in 2011 nonoil growth of 11 budget surplus,1
289,earnings take flight at nigerias airline services and logistics,1
1647, why africa could be the region to watch with etfs this year,1
1488,video cnbc interview on investing in africa,1
250,zambia to issue up to 2 billion 10year eurobond,1
803,ugandas economy to grow 67 over medium term says imf,1
1468,kenyas safaricom plans to issue up to 156 million in bonds,1
340,south africas rand tumbles to a new 13year low,-1
900,nissan may use datsun brand to target african consumers will double south african production by 2016,1
214,why africa is becoming more accessible for investors,1
1106,nigerian gdp to grow 78 in 2011 says central bank governor,1
1485,africa could surprise economic prognosticators in 2009,1
1298,podcast the transition from zimdollar to usdollar in zimbabwe,1
718,kenyas new president orders 14 minimum wage increase,1
453,cocacola plans to spend additional 5 billion in africa over next six years,1
1237,south africas cement market unceain says ppc ceo company reports flat sales,-1
330,tanzania to spend 14 billion on railways eyes regional hub status,1
1359,a great new blog on africas capital markets written by one of the founders of the namibian stock exchange,1
1578,mozambique to sell stake in mobile phone operator mcel to public,1
1421,the resource curse is oil black gold or the devils excrement  ht ,-1
466,zimbabwe stock exchange demutualizes paves way for ipo,1
1377,  in economonies like nigeriasthe stock market is an artery pumping capital to companies with attractive opportunities,1
60,nigerian stocks fall to 10month low,-1
33,ghana cuts interest rate by 100 basis points to 225 on expectations of lower inflation,1
1395,  kenya about to get credit reference for bank loan borrowers,1
197,bollore prepares listing of west african train project,1
105,africas best stock markets ytd south africa 226 namibia 216 tanzania 162,1
401,ma activity heats up in africa as investors bet on growth,1
382,capital raising on johannesburg stock exchange hits 9year high,1
661,mugabe wants raciallyexclusive stock exchange in zimbabwe,-1
1589,interview with head of investec asset management on africas investment prospects,1
1347,retail investors effectively barred from kenyas safaricom bond offer  via ,-1
510,kenyas bourse to sell up to 38 stake in ipo next month,1
708,kenya a bonanza for bank investors,1
268,ivory coasts nsia banqueci plans ipo before years end,1
434,kenyan it firm east african data handlers plans ipo for november,1
727,zambia to launch bond and derivatives exchange in june,1
852,botswana diversifies economy minings share of gdp drops from 41 to 29 over past decade,1
278,proplastics to list on zimbabwe stock exchange via spinoff next week,1
1698,soros scouting oppounities among nigerian banks,1
1730,nigerian investors demand more transparent repoing,1
471,kenyan stock exchange to sell 31 of its shares in ipo,1
1667,botswana 2009 economic forecast,1
1228,ghana pledges progrowth spending ahead of oil windfall,-1
1611,  inside the boardroomhow corporate america really views africa,1
395,taxi company set to float shares on tanzanian stock exchange,1
555,kenya mulls removal of 75 cap on foreign ownership of public companies,1
797,rising kenyan middle class prompts shopping mall boom,1
1047,lack of common east african legal framework frustrates the regions stock investors,-1
1182,zambia to audit more mining firms after discovery of 200 million in unpaid taxes,1
319,investment company to sell 20 stake in mtn rwanda on local stock exchange,1
946,ge sees doubledigit revenue growth in africa  currently does 18 billion woh of african business,1
1256,south african stocks up 29 for the year rand appreciates 30 against the dollar in same time frame,1
996,gap porsche and samsung make big investments in africa  ,1
1339,pofolio managers increasingly attracted to africa,1
604,kenya to use 2 billion eurobond proceeds to upgrade infrastructure,-1
152,tanzanias president magufuli to slash salaries of senior civil servants by as much as 66,-1
503,africaâ€™s gdp is vastly understated likely 33 larger than official stats indicate says afdb,1
1365,two of mauritius largest sugar estates to merge,1
618,kenya to spend up to 15 billion to boost electricity production,1
773,africas best stock markets ytd zimbabwe 218 uganda 132 nigeria 120,1
1414,nigerias bank crackdown real effo or witchhunt,-1
541,ghanas economy grew 55 in 2013 imf,1
1080,tanzania signs 1bln natural gas pipeline deal with china in bid to alleviate power crisis,1
348,kenyas keroche breweries plans expansion ipo,1
